Date,^NYA_Open,^NYA_Adj Close,^NYA_Volume,^NYA_High,^NYA_Low,^NYA_MA_5,^NYA_MA_20,^NYA_MA_250,^NYA_realVolatility20,^NYA_realVolatility60,^NYA_realVolatility250,^NYA_avgVolume_20,^NYA_avgVolume_60,^NYA_avgVolume_250,^NYA_log1DayRet,^NYA_logMA5_20,^NYA_logMA20_250,^NYA_logMA5_250,^NYA_log1DayRange,^NYA_HL_20_realVol_20,^NYA_HL_5_realVol_20,^NYA_logD2,^NYA_logD5
2019-11-18,810.9485062263284,571.1181224264501,-1412857523.521946,622.1882448261958,593.3618467535007,,,,,,,,,,-0.350608500267528,,,,3.3612915670672314,,,,
2019-11-19,730.3788542274278,828.2675450356955,-30125173.349348545,735.1432592321698,866.6341510879583,,,,,,,,,,0.12577284630290564,,,,4.878937585764915,,,,
2019-11-20,393.3994034005391,379.55518553746697,-360352431.47961473,329.8902241559172,425.07714928994574,,,,,,,,,,-0.0358253867328032,,,,4.555842591336065,,,5.2552164067882,
2019-11-21,532.8844092342733,480.9577086783811,-70352154.35169029,463.0817102135006,491.0978277202039,,,,,,,,,,-0.10252518992347698,,,,3.3327799698059475,,,5.850217281713814,
2019-11-22,760.1186135553826,904.399515702683,587754642.9255548,835.8943702463366,838.3673746542236,632.8596154761353,,,,,,,,,0.17379671334323626,,,,0.9054337709424407,,1.5613992863801116,6.263101704651647,
2019-11-25,570.0366361221677,514.9028136789711,-225073423.53217936,629.2771810515678,645.0231296384973,621.6165537266395,,,,,,,,,-0.10172246110910797,,,,2.75658309960576,,1.5889868245251613,3.524744661005272,4.029189117448118
2019-11-26,333.1459470483041,275.67899989117177,-81079581.01862049,298.4806905511514,313.9557435872066,511.09884469773476,,,,,,,,,-0.18934352840421115,,,,2.7392292457735246,,1.317667659145862,6.443686826972889,6.3146136832562325
2019-11-27,613.7075686786839,630.6230137997891,-714429.3971209526,541.825649915826,637.9713130959935,561.3124103501992,,,,,,,,,0.02718969934566468,,,,4.565864366287093,,1.3208996846613221,4.751175209460206,5.525723134746467
2019-11-29,605.8540057457167,574.6003419221506,753167766.5027947,671.90745883416,641.6901044706183,580.0409369989532,,,,,,,,,-0.052964300827513064,,,,3.408416407133399,,1.3280815772856558,5.700180468651165,4.5394857631560885
2019-12-02,618.9774027107878,664.2655541718123,51966808.146503925,555.1493814915093,566.0280410644291,532.0141446927789,,,,,,,,,0.07061323461027426,,,,2.3868030328195258,,0.8624303836409288,3.5157913486632526,5.4811969406666545
2019-12-03,698.1536734443898,857.854026726679,6099880.543640614,816.7558722671947,791.9005472414956,600.6043873023206,,,,,,,,,0.20599471193574181,,,,3.213072016334968,,0.8311363754877262,5.646342908842134,5.837588201036925
2019-12-04,994.2072439214572,775.8524433526691,606682177.8259377,871.3569554318601,868.0420710231083,700.63907599462,,,,,,,,,-0.24798332803170756,,,,1.198422753875078,,1.2525455932724545,4.714803562587568,6.214954925193828
2019-12-05,883.2049949013835,1009.8368095764764,1351882745.4693909,944.1360589708956,987.4079558618104,776.4818351499574,,,,,,,,,0.13398669113812192,,,,3.7675033917532605,,1.0262200410711462,5.023767243705646,5.9381001509867195
2019-12-06,714.9169672234166,588.9247001270396,732487774.762289,626.9993995548821,643.0501300740616,779.3467067909353,,,,,,,,,-0.19386807430143635,,,,2.7757543637539164,,0.9690653676485841,5.23072214231998,2.6619614591461134
2019-12-09,399.2067836240212,345.7032437328662,-1138628226.118856,368.46053527965887,371.41947416850326,715.634244703146,,,,,,,,,-0.14389880736941202,,,,1.084830720566881,,1.2088721724583107,6.4984832826267365,5.763818093048707
2019-12-10,349.925716016397,502.31811010522415,-325764087.59256124,392.8834523361129,412.927624967796,644.527061378855,,,,,,,,,0.361512712462225,,,,2.997938469696746,,1.1764439863694076,4.461375909922742,5.873626275423959
2019-12-11,698.2855482568966,618.3393740532711,277601972.5110249,685.9265822402776,725.1178045454399,613.0244475189754,,,,,,,,,-0.12159065834568376,,,,3.6684528009357367,,1.0787148096273078,5.608138050173165,5.059508434501782
2019-12-12,630.1313348826716,459.3942261724478,-83086341.81621265,562.6205276263045,515.6615432040926,502.9359308381698,,,,,,,,,-0.31601954374316626,,,,3.849274548842457,,1.0964086308893053,3.7594284060442726,6.310722651729626
2019-12-13,560.264230873795,647.8776544654056,328990019.91944885,604.8346960497192,673.682147249936,514.726521705843,,,,,,,,,0.14529336039569174,,,,4.2318932048847255,,1.246491110671406,3.385687063226529,4.076739741730431
2019-12-16,724.7452318288179,837.4919306486454,-76021972.05882025,729.3920145540724,757.2018055838198,613.0842590889988,623.3980659902647,,196.558114837648,,,44628922.21848075,,,0.14459143988276546,-0.01668288482796225,,,3.3253881540050356,1.115447966155179,0.4751152763018757,5.935152639670305,6.198049126092904
2019-12-17,622.9764370257326,642.513363329841,8599598.43194151,648.6571620832456,652.5700371086787,641.1233097339222,626.9678280354344,,196.2066708096918,,,115701778.31617513,,,0.030878919226390494,0.022326580931320193,,,1.3642724044184915,1.1828995394243162,1.1239254276694415,1.6797642397788788,4.943036116856259
2019-12-18,714.9671216767974,422.8480470222412,374832179.5321369,638.1673353646111,499.2817458244799,602.0250443277162,606.6968531347617,,195.2554542943608,,,135949645.9602494,,,-0.5252236703568468,-0.007730201762519931,,,4.9336504973669095,1.1874057369060491,1.35059926190263,6.027420040098451,5.275516015428718
2019-12-19,371.5088608474698,304.1197732740702,1285841704.1322289,328.6683691324333,260.6024681143208,570.9701537480407,602.9250825215918,,200.53142334533626,,,218259352.74084157,,,-0.20015110056907828,-0.05445600960453373,,,4.22047636848958,1.1672641006872428,1.3816337821072369,5.824209685637097,5.045194215002532
2019-12-20,134.16392441095104,539.2625052705625,250705796.7946539,367.6308844369278,232.9284274560005,549.2471239090721,605.8403223512008,,199.08357068590882,,,234312250.2981588,,,1.391140106308734,-0.09806798202434569,,,4.903068323642891,1.238871116951469,1.485255236906005,4.757156739339035,4.687810893119726
2019-12-23,616.882913542071,549.6917506121417,224579180.6892619,499.4482522830822,641.6466947437384,491.68708790177135,588.1049340966738,,186.4876579049848,,,216153477.18634415,,,-0.1153215708611406,-0.1790628773660011,,,4.957223564149212,1.1888400759669921,1.5468113159574257,5.503590090976872,5.662266420014238
