order_execution_datetime,trader,ticker,expiration,contract_details,entry_price,exit_price,profit,success,DTE,DT_OPEX
03/25/2021 7:34 AM,MariaC82,BOX,2022-01-21,22,4.6,0.0,-4.6,False,301,10
03/26/2021 7:28 AM,MariaC82,KDP,2021-05-21,35,1.35,0.0,-1.35,False,55,10
03/29/2021 8:50 AM,MariaC82,PM,2022-01-21,115,0.9,0.0,-0.9,False,297,10
03/30/2021 9:46 AM,MariaC82,CRWD,2021-06-18,185,14.0,33.0,19.0,True,79,12
03/30/2021 11:01 AM,MariaC82,TJX,2021-07-16,67.5,3.55,0.0,-3.55,False,107,15
03/31/2021 6:47 AM,MariaC82,UA,2021-04-16,18.5,0.58,0.0,-0.58,False,15,14
03/31/2021 6:47 AM,MariaC82,AAPL,2021-04-01,125,0.15,0.09,-0.06,False,0,29
04/06/2021 6:43 AM,MariaC82,SNAP,2021-04-16,60,1.59,2.3,0.71,True,9,14
04/06/2021 6:54 AM,MariaC82,DDOG,2021-05-21,90,5.1,8.15,3.05,True,44,10
04/08/2021 8:37 AM,MariaC82,UPWK,2021-06-18,55,3.2,0.0,-3.2,False,70,12
04/09/2021 7:19 AM,MariaC82,META,2021-04-16,315,4.83,0.0,-4.83,False,6,14
04/12/2021 7:03 AM,MariaC82,UBER,2021-04-16,60,1.09,1.12,0.03,True,3,14
04/13/2021 7:03 AM,MariaC82,ABNB,2021-04-16,177.5,3.0,3.72,0.72,True,2,14
04/14/2021 7:20 AM,MariaC82,NTAP,2021-04-16,75.5,1.0,1.23,0.23,True,1,14
04/16/2021 10:28 AM,MariaC82,GPS,2021-04-23,33,0.63,0.75,0.12,True,6,7
04/16/2021 12:00 PM,MariaC82,UPS,2021-07-16,185,5.85,11.93,6.08,True,90,15
04/19/2021 7:31 AM,MariaC82,DBX,2021-04-23,26.5,0.48,0.27,-0.21,False,3,7
04/20/2021 6:43 AM,MariaC82,FSR,2021-04-30,14,1.32,1.69,0.37,True,9,0
04/20/2021 12:42 PM,MariaC82,MU,2021-07-16,85,8.3,0.0,-8.3,False,86,15
04/21/2021 8:06 AM,MariaC82,TEAM,2021-09-17,240,17.8,0.0,-17.8,False,148,13
04/22/2021 8:58 AM,MariaC82,RUN,2021-05-21,70,1.29,0.0,-1.29,False,28,10
04/27/2021 7:03 AM,MariaC82,SWBI,2021-06-18,17.5,1.95,2.35,0.4,True,51,12
04/28/2021 6:37 AM,MariaC82,V,2021-04-30,235,1.01,0.0,-1.01,False,1,0
04/29/2021 6:46 AM,MariaC82,META,2021-05-21,335,5.5,0.0,-5.5,False,21,10
05/03/2021 6:53 AM,MariaC82,HD,2021-05-07,332.5,2.17,0.0,-2.17,False,3,24
05/05/2021 8:09 AM,MariaC82,HOG,2021-05-07,50,0.65,0.0,-0.65,False,1,24
05/07/2021 6:35 AM,MariaC82,NET,2021-05-14,80,1.4,0.0,-1.4,False,6,17
05/10/2021 9:25 AM,MariaC82,UAA,2021-05-14,23.5,0.64,0.0,-0.64,False,3,17
05/12/2021 6:46 AM,MariaC82,FUBO,2021-05-21,21,1.3,1.56,0.26,True,8,10
05/17/2021 6:45 AM,MariaC82,HOG,2021-05-21,49,1.05,1.58,0.53,True,3,10
05/18/2021 6:40 AM,MariaC82,HD,2021-05-21,325,1.95,3.02,1.07,True,2,10
05/19/2021 6:33 AM,MariaC82,TGT,2021-05-28,220,1.64,2.45,0.81,True,8,3
05/20/2021 6:37 AM,MariaC82,DASH,2021-05-21,136,2.64,3.1,0.46,True,0,10
05/25/2021 7:07 AM,MariaC82,META,2021-05-28,330,2.75,1.14,-1.61,False,2,3
05/26/2021 6:35 AM,MariaC82,DKS,2021-06-18,100,1.5,3.2,1.7,True,22,12
05/27/2021 6:35 AM,MariaC82,BBY,2021-06-04,125,1.41,0.42,-0.99,False,7,26
05/28/2021 6:55 AM,MariaC82,PLTR,2021-08-20,30,1.19,0.0,-1.19,False,83,11
06/02/2021 9:38 AM,MariaC82,TAP,2021-06-18,60,1.4,1.7,0.3,True,15,12
06/03/2021 7:12 AM,MariaC82,GM,2021-08-20,65,3.1,0.0,-3.1,False,77,11
06/04/2021 8:04 AM,MariaC82,V,2021-12-17,240,10.4,0.0,-10.4,False,195,14
06/04/2021 8:30 AM,MariaC82,FUTU,2021-07-16,155,14.7,27.05,12.35,True,41,15
06/07/2021 6:32 AM,MariaC82,DOCU,2021-06-11,240,5.25,6.74,1.49,True,3,19
06/07/2021 11:39 AM,MariaC82,PTON,2021-06-11,112,1.97,2.48,0.51,True,3,19
06/08/2021 7:10 AM,MariaC82,CWH,2021-06-11,40.5,0.97,1.1,0.13,True,2,19
06/08/2021 7:17 AM,MariaC82,AAPL,2021-06-18,130,1.01,1.44,0.43,True,9,12
06/08/2021 7:58 AM,MariaC82,EH,2021-07-16,45,6.3,0.0,-6.3,False,37,15
06/08/2021 9:55 AM,MariaC82,SHAK,2021-07-16,110,3.6,0.0,-3.6,False,37,15
06/08/2021 12:04 PM,MariaC82,WISH,2021-06-18,12.5,2.3,3.25,0.95,True,9,12
06/09/2021 6:47 AM,MariaC82,MSFT,2021-06-18,260,1.19,1.71,0.52,True,8,12
06/09/2021 6:56 AM,MariaC82,TRIP,2021-08-20,45,3.2,0.0,-3.2,False,71,11
06/10/2021 8:04 AM,MariaC82,DDOG,2021-06-11,94,1.06,0.0,-1.06,False,0,19
06/14/2021 6:35 AM,MariaC82,SQ,2021-06-18,230,3.85,4.42,0.57,True,3,12
06/14/2021 7:52 AM,MariaC82,SNAP,2021-06-18,68,0.65,0.0,-0.65,False,3,12
06/14/2021 10:52 AM,MariaC82,EW,2021-11-19,110,3.8,0.0,-3.8,False,157,11
06/15/2021 7:14 AM,MariaC82,WOOF,2021-06-18,30,0.95,0.25,-0.7,False,2,12
06/16/2021 6:42 AM,MariaC82,PINS,2021-06-25,75,0.8,0.94,0.14,True,8,5
06/16/2021 8:41 AM,MariaC82,HOG,2021-07-16,49,1.55,0.0,-1.55,False,29,15
06/17/2021 7:50 AM,MariaC82,NET,2021-08-20,100,9.39,21.94,12.55,True,63,11
06/18/2021 7:56 AM,MariaC82,JBLU,2021-08-20,18,0.92,0.0,-0.92,False,62,11
06/18/2021 11:16 AM,MariaC82,PHM,2021-08-20,55,2.7,0.0,-2.7,False,62,11
06/21/2021 7:29 AM,MariaC82,FTCH,2021-08-20,60,2.05,0.0,-2.05,False,59,11
06/21/2021 7:45 AM,MariaC82,SWBI,2021-08-20,30,1.1,2.05,0.95,True,59,11
06/21/2021 12:53 PM,MariaC82,JD,2021-06-25,72.5,1.12,1.78,0.66,True,3,5
06/22/2021 6:38 AM,MariaC82,TWLO,2021-06-25,385,6.25,7.05,0.8,True,2,5
06/24/2021 6:30 AM,MariaC82,SNAP,2021-06-25,69,0.9,1.18,0.28,True,0,5
06/25/2021 6:49 AM,MariaC82,NKE,2021-07-02,152.5,3.95,4.55,0.6,True,6,29
06/25/2021 7:39 AM,MariaC82,SNAP,2021-07-02,69,1.4,0.0,-1.4,False,6,29
06/28/2021 6:50 AM,MariaC82,AAPL,2021-07-02,136,0.76,0.99,0.23,True,3,29
06/28/2021 8:09 AM,MariaC82,NVDA,2021-07-02,815,6.7,8.19,1.49,True,3,29
06/29/2021 7:33 AM,MariaC82,CPRI,2021-07-09,56.5,1.64,0.0,-1.64,False,9,22
06/29/2021 10:21 AM,MariaC82,WW,2021-08-20,37.5,2.35,0.0,-2.35,False,51,11
06/30/2021 6:34 AM,MariaC82,WMT,2021-07-16,141,1.58,2.52,0.94,True,15,15
06/30/2021 7:58 AM,MariaC82,HIMX,2021-07-09,17.5,0.91,0.0,-0.91,False,8,22
07/01/2021 6:32 AM,MariaC82,DBX,2021-07-16,31.5,0.77,0.0,-0.77,False,14,15
07/01/2021 9:26 AM,MariaC82,TPR,2021-07-09,42.5,0.9,0.0,-0.9,False,7,22
07/06/2021 6:47 AM,MariaC82,AAPL,2021-07-09,142,1.1,1.73,0.63,True,2,22
07/06/2021 9:04 AM,MariaC82,GPS,2021-08-20,32,1.94,0.0,-1.94,False,44,11
07/07/2021 6:39 AM,MariaC82,AAPL,2021-07-16,145,1.53,2.17,0.64,True,8,15
07/13/2021 6:34 AM,MariaC82,PEP,2021-08-20,155,1.52,2.39,0.87,True,37,11
07/13/2021 6:50 AM,MariaC82,AAPL,2021-07-23,148,1.51,2.86,1.35,True,9,8
07/15/2021 8:40 AM,MariaC82,RACE,2021-11-19,210,11.2,0.0,-11.2,False,126,11
07/16/2021 9:06 AM,MariaC82,PVH,2021-09-17,105,4.4,0.0,-4.4,False,62,13
07/16/2021 9:19 AM,MariaC82,MSFT,2021-07-23,285,1.5,0.0,-1.5,False,6,8
07/19/2021 7:59 AM,MariaC82,AAPL,2021-07-23,144,1.57,2.13,0.56,True,3,8
07/20/2021 6:34 AM,MariaC82,PTON,2021-07-23,130,1.95,0.0,-1.95,False,2,8
07/21/2021 6:57 AM,MariaC82,NVDA,2021-07-23,200,0.92,1.62,0.7,True,1,8
07/23/2021 6:33 AM,MariaC82,SNAP,2021-07-30,80,1.61,2.43,0.82,True,6,1
07/26/2021 7:50 AM,MariaC82,NUE,2021-08-06,100,1.5,2.28,0.78,True,10,25
07/28/2021 6:49 AM,MariaC82,V,2021-07-30,250,1.56,1.95,0.39,True,1,1
07/29/2021 6:36 AM,MariaC82,MA,2021-07-30,395,2.13,3.32,1.19,True,0,1
07/30/2021 12:05 PM,MariaC82,DDOG,2021-08-20,112,5.95,7.25,1.3,True,20,11
08/02/2021 6:56 AM,MariaC82,AMD,2021-08-06,105,2.65,3.51,0.86,True,3,25
08/03/2021 7:17 AM,MariaC82,HOG,2021-08-06,40,0.8,0.0,-0.8,False,2,25
08/04/2021 6:31 AM,MariaC82,AMD,2021-08-06,116,2.42,3.62,1.2,True,1,25
08/05/2021 6:46 AM,MariaC82,DDOG,2021-08-06,135,1.8,3.1,1.3,True,0,25
08/06/2021 6:48 AM,MariaC82,ROST,2021-08-13,124,1.2,1.51,0.31,True,6,18
08/09/2021 6:48 AM,MariaC82,AAPL,2021-08-13,148,0.74,0.9,0.16,True,3,18
08/10/2021 6:36 AM,MariaC82,NUE,2021-09-17,125,1.23,2.73,1.5,True,37,13
08/10/2021 9:03 AM,MariaC82,DDOG,2021-09-17,130,5.4,10.8,5.4,True,37,13
08/10/2021 10:32 AM,MariaC82,V,2021-10-15,240,7.4,0.0,-7.4,False,65,16
08/11/2021 6:40 AM,MariaC82,UPST,2021-08-20,195,3.2,5.78,2.58,True,8,11
08/16/2021 6:35 AM,MariaC82,AAPL,2021-08-20,150,1.28,1.6,0.32,True,3,11
08/16/2021 8:55 AM,MariaC82,CPRI,2021-08-20,58.5,1.21,0.0,-1.21,False,3,11
08/17/2021 10:43 AM,MariaC82,K,2022-03-18,72.5,1.7,0.0,-1.7,False,212,13
08/17/2021 11:06 AM,MariaC82,SNAP,2021-11-19,75,6.6,0.0,-6.6,False,93,11
08/18/2021 6:36 AM,MariaC82,LOW,2021-08-27,195,2.35,4.61,2.26,True,8,4
08/20/2021 6:46 AM,MariaC82,MSFT,2021-08-27,305,1.84,3.06,1.22,True,6,4
08/23/2021 6:33 AM,MariaC82,LRCX,2021-08-27,590,7.0,8.47,1.47,True,3,4
08/24/2021 6:32 AM,MariaC82,BBY,2021-09-17,120,2.68,5.01,2.33,True,23,13
08/25/2021 6:35 AM,MariaC82,DKS,2021-08-27,135,3.2,2.0,-1.2,False,1,4
08/26/2021 7:03 AM,MariaC82,PSTG,2021-10-15,25,1.65,0.0,-1.65,False,49,16
08/30/2021 6:34 AM,MariaC82,HD,2021-09-03,330,0.75,1.37,0.62,True,3,27
08/30/2021 12:59 PM,MariaC82,HD,2021-12-17,340,8.85,0.0,-8.85,False,108,14
09/01/2021 6:32 AM,MariaC82,AAPL,2021-09-10,155,1.86,2.43,0.57,True,8,20
09/03/2021 7:10 AM,MariaC82,CRM,2021-10-15,270,7.05,15.8,8.75,True,41,16
09/21/2021 6:48 AM,MariaC82,META,2021-09-24,360,3.91,0.0,-3.91,False,2,6
09/27/2021 7:24 AM,MariaC82,PTON,2021-10-15,95,3.42,1.1,-2.32,False,17,16
09/27/2021 9:18 AM,MariaC82,NUE,2021-11-05,120,1.35,0.0,-1.35,False,38,25
09/28/2021 8:33 AM,MariaC82,DDOG,2021-11-15,140,9.0,0.0,-9.0,False,47,15
09/28/2021 8:33 AM,MariaC82,DDOG,2021-11-19,140,9.0,0.0,-9.0,False,51,11
10/04/2021 7:02 AM,MariaC82,GT,2022-01-21,19,2.1,0.0,-2.1,False,108,10
10/05/2021 6:55 AM,MariaC82,FDX,2021-10-08,220,2.36,3.52,1.16,True,2,23
10/07/2021 7:30 AM,MariaC82,GM,2021-12-17,57.5,2.62,0.0,-2.62,False,70,14
10/11/2021 9:18 AM,MariaC82,CROX,2021-11-19,140,5.34,8.9,3.56,True,38,11
10/13/2021 12:25 PM,MariaC82,MCD,2021-10-29,245,2.89,0.0,-2.89,False,15,2
10/14/2021 9:07 AM,MariaC82,STX,2021-10-22,86,1.6,0.0,-1.6,False,7,9
10/15/2021 9:20 AM,MariaC82,COIN,2021-10-22,300,2.15,3.15,1.0,True,6,9
10/19/2021 9:59 AM,MariaC82,MAR,2021-11-05,160,2.96,4.65,1.69,True,16,25
10/19/2021 12:30 PM,MariaC82,ADI,2022-01-21,170,12.3,0.0,-12.3,False,93,10
10/21/2021 7:13 AM,MariaC82,CVS,2021-10-29,89,0.33,0.5,0.17,True,7,2
10/21/2021 11:35 AM,MariaC82,TTWO,2021-10-29,182.5,3.1,3.7,0.6,True,7,2
10/22/2021 11:47 AM,MariaC82,SNAP,2021-10-29,57,1.97,0.0,-1.97,False,6,2
10/25/2021 7:20 AM,MariaC82,FDX,2021-11-05,245,1.32,1.54,0.22,True,10,25
10/25/2021 10:58 AM,MariaC82,DDD,2021-11-05,32,0.5,1.76,1.26,True,10,25
10/26/2021 8:21 AM,MariaC82,NUE,2021-11-19,130,1.45,0.0,-1.45,False,23,11
10/27/2021 6:43 AM,MariaC82,MSFT,2021-10-29,320,2.0,0.0,-2.0,False,1,2
11/02/2021 6:51 AM,MariaC82,CLX,2021-11-05,175,0.6,0.0,-0.6,False,2,25
11/02/2021 11:20 AM,MariaC82,OTLY,2022-03-18,12.5,2.5,0.0,-2.5,False,135,13
11/04/2021 6:35 AM,MariaC82,PENN,2021-11-05,70,1.33,1.94,0.61,True,0,25
11/08/2021 6:41 AM,MariaC82,TTD,2021-11-12,90,1.7,2.48,0.78,True,3,18
11/09/2021 7:30 AM,MariaC82,UBER,2022-02-18,47.5,3.34,0.0,-3.34,False,100,10
11/09/2021 11:58 AM,MariaC82,MCD,2021-12-17,260,1.9,0.0,-1.9,False,37,14
11/11/2021 6:54 AM,MariaC82,FCX,2022-02-18,50,1.22,0.0,-1.22,False,98,10
11/12/2021 7:18 AM,MariaC82,FIVE,2021-12-17,220,7.29,0.0,-7.29,False,34,14
11/16/2021 6:58 AM,MariaC82,TTD,2021-11-19,108,3.1,4.2,1.1,True,2,11
11/17/2021 7:12 AM,MariaC82,HLT,2022-05-20,145,12.7,0.0,-12.7,False,183,11
11/22/2021 6:47 AM,MariaC82,TSM,2021-12-17,125,4.0,0.0,-4.0,False,24,14
11/22/2021 6:47 AM,MariaC82,TSM,2021-12-17,128,4.0,0.0,-4.0,False,24,14
11/23/2021 8:25 AM,MariaC82,DT,2022-02-18,65,5.32,0.0,-5.32,False,86,10
11/26/2021 7:45 AM,MariaC82,AFRM,2021-12-17,135,11.7,0.0,-11.7,False,20,14
11/30/2021 6:45 AM,MariaC82,LYV,2022-09-16,115,16.3,0.0,-16.3,False,289,14
11/30/2021 9:23 AM,MariaC82,SEAS,2022-03-18,60,6.8,0.0,-6.8,False,107,13
12/03/2021 9:28 AM,MariaC82,NOW,2022-02-18,630,37.6,0.0,-37.6,False,76,10
12/06/2021 6:46 AM,MariaC82,LAZR,2021-12-23,14.5,1.0,1.7,0.7,True,16,8
12/06/2021 9:16 AM,MariaC82,DDOG,2022-02-18,175,12.8,0.0,-12.8,False,73,10
12/07/2021 8:16 AM,MariaC82,DASH,2022-05-20,180,21.0,0.0,-21.0,False,163,11
12/07/2021 8:51 AM,MariaC82,AAPL,2022-03-18,200,2.6,0.0,-2.6,False,100,13
12/16/2021 7:13 AM,MariaC82,SIX,2021-12-17,40,0.63,0.73,0.1,True,0,14
12/16/2021 8:05 AM,MariaC82,MAR,2022-06-17,160,12.6,0.0,-12.6,False,182,13
12/21/2021 6:40 AM,MariaC82,NKE,2021-12-31,175,1.71,0.0,-1.71,False,9,0
12/22/2021 6:45 AM,MariaC82,PINS,2022-01-21,41,1.11,0.0,-1.11,False,29,10
12/27/2021 7:44 AM,MariaC82,CROX,2022-01-21,130,5.7,8.2,2.5,True,24,10
12/29/2021 10:48 AM,MariaC82,FTCH,2022-03-18,35,2.98,0.0,-2.98,False,78,13
01/03/2022 7:30 AM,MariaC82,JWN,2022-01-21,22,2.5,0.0,-2.5,False,17,10
01/03/2022 10:55 AM,MariaC82,DT,2022-05-20,70,3.64,0.0,-3.64,False,136,11
01/03/2022 12:50 PM,MariaC82,TRIP,2022-03-18,31,1.72,0.0,-1.72,False,73,13
01/07/2022 6:50 AM,MariaC82,S,2022-03-18,45,6.5,0.0,-6.5,False,69,13
01/11/2022 8:49 AM,MariaC82,MGM,2022-03-18,45,3.49,0.0,-3.49,False,65,13
01/13/2022 6:58 AM,MariaC82,EXPE,2022-06-17,190,21.1,0.0,-21.1,False,154,13
01/18/2022 7:20 AM,MariaC82,SE,2023-01-02,1180,5.15,0.0,-5.15,False,348,29
01/18/2022 7:20 AM,MariaC82,SE,2022-01-21,180,5.15,0.0,-5.15,False,2,10
02/02/2022 6:37 AM,MariaC82,GOOGL,2022-07-15,4000,17.0,0.0,-17.0,False,162,16
02/04/2022 6:40 AM,MariaC82,SNAP,2022-02-11,38,1.28,1.76,0.48,True,6,17
02/08/2022 6:38 AM,MariaC82,HOG,2022-03-18,40,1.9,2.56,0.66,True,37,13
02/10/2022 6:32 AM,MariaC82,TWLO,2022-02-18,250,4.6,0.0,-4.6,False,7,10
02/10/2022 9:37 AM,MariaC82,LULU,2022-02-18,355,3.5,0.0,-3.5,False,7,10
02/17/2022 6:33 AM,MariaC82,GOLD,2022-06-17,24,1.3,0.0,-1.3,False,119,13
02/22/2022 6:37 AM,MariaC82,GDXJ,2022-04-14,44,2.23,0.0,-2.23,False,50,16
03/04/2022 7:03 AM,MariaC82,WEAT,2022-03-18,15,1.5,0.0,-1.5,False,13,13
03/04/2022 10:01 AM,MariaC82,FSLR,2022-05-20,75,5.75,11.6,5.85,True,76,11
03/07/2022 6:34 AM,MariaC82,VFC,2022-03-11,56,1.1,0.0,-1.1,False,3,20
03/08/2022 6:40 AM,MariaC82,CVX,2022-03-11,170,2.15,3.26,1.11,True,2,20
03/09/2022 6:35 AM,MariaC82,BMBL,2022-03-18,25,1.11,1.52,0.41,True,8,13
03/14/2022 6:38 AM,MariaC82,PFE,2022-03-18,52,0.74,1.14,0.4,True,3,13
03/15/2022 6:34 AM,MariaC82,DAL,2022-03-25,36,1.17,1.69,0.52,True,9,6
03/17/2022 8:57 AM,MariaC82,CCJ,2022-05-20,25,4.15,0.0,-4.15,False,63,11
03/18/2022 6:43 AM,MariaC82,DAL,2022-04-14,40,1.14,0.0,-1.14,False,26,16
03/18/2022 9:59 AM,MariaC82,CROX,2022-04-14,90,2.45,0.0,-2.45,False,26,16
03/21/2022 6:36 AM,MariaC82,AA,2022-03-25,95,1.11,1.53,0.42,True,3,6
03/22/2022 7:46 AM,MariaC82,CSX,2022-11-18,37.5,3.3,0.0,-3.3,False,240,12
03/23/2022 6:35 AM,MariaC82,OXY,2022-03-25,65,0.82,0.44,-0.38,False,1,6
03/24/2022 7:15 AM,MariaC82,CRM,2022-04-14,225,2.37,0.0,-2.37,False,20,16
03/30/2022 12:15 PM,MariaC82,SPWR,2022-04-01,20.5,0.95,1.23,0.28,True,1,29
03/31/2022 10:50 AM,MariaC82,MT,2022-05-20,36,0.85,0.0,-0.85,False,49,11
