order_execution_datetime,trader,ticker,expiration,contract_details,entry_price,exit_price,profit,success,DTE,DT_OPEX
11/18/2020 6:33 AM,MariaC82,TGT,2020-11-27,170,1.97,3.29,1.32,True,8,3
11/19/2020 6:34 AM,MariaC82,TGT,2020-11-27,172.5,1.41,2.41,1.0,True,7,3
11/20/2020 6:36 AM,MariaC82,WMT,2020-11-27,155,0.75,0.55,-0.2,False,6,3
11/20/2020 6:36 AM,MariaC82,TGT,2020-11-27,175,1.45,1.66,0.21,True,6,3
11/20/2020 7:04 AM,MariaC82,SNAP,2021-01-15,50,1.44,2.54,1.1,True,55,16
11/23/2020 6:35 AM,MariaC82,SQ,2020-11-27,205,3.6,4.7,1.1,True,3,3
11/23/2020 7:38 AM,MariaC82,META,2021-02-19,280,14.44,22.0,7.56,True,87,9
11/24/2020 6:43 AM,MariaC82,TGT,2020-11-27,180,1.44,0.0,-1.44,False,2,3
11/24/2020 6:59 AM,MariaC82,GS,2020-11-27,240,0.88,0.93,0.05,True,2,3
11/27/2020 6:36 AM,MariaC82,PLTR,2020-12-04,40,3.5,0.0,-3.5,False,6,27
11/30/2020 6:37 AM,MariaC82,NET,2020-12-04,80,1.21,0.67,-0.54,False,3,27
12/15/2020 6:41 AM,MariaC82,AAPL,2020-12-24,130,1.17,1.18,0.01,True,8,7
12/16/2020 7:41 AM,MariaC82,DT,2021-02-19,41,4.59,6.27,1.68,True,64,9
12/17/2020 6:57 AM,MariaC82,MA,2020-12-24,345,2.29,0.0,-2.29,False,6,7
12/17/2020 8:41 AM,MariaC82,FSLY,2020-12-18,100,1.83,2.06,0.23,True,0,13
12/18/2020 7:05 AM,MariaC82,MOMO,2021-02-19,16,0.63,0.0,-0.63,False,62,9
12/22/2020 6:43 AM,MariaC82,AAPL,2020-12-24,135,0.82,1.46,0.64,True,1,7
12/22/2020 7:15 AM,MariaC82,CSIQ,2020-12-31,55,0.9,1.82,0.92,True,8,0
12/23/2020 6:54 AM,MariaC82,CSIQ,2020-12-24,56,1.0,0.45,-0.55,False,0,7
12/28/2020 7:13 AM,MariaC82,DIS,2020-12-31,180,1.44,1.2,-0.24,False,2,0
12/28/2020 7:42 AM,MariaC82,MSFT,2021-01-08,230,2.14,2.4,0.26,True,10,23
12/30/2020 6:42 AM,MariaC82,AMAT,2021-01-15,90,1.42,4.03,2.61,True,15,16
12/30/2020 7:01 AM,MariaC82,MA,2021-01-15,365,4.45,0.0,-4.45,False,15,16
12/31/2020 6:46 AM,MariaC82,DIS,2021-01-08,190,1.45,0.0,-1.45,False,7,23
12/31/2020 10:46 AM,MariaC82,DBX,2021-04-16,30,0.77,1.28,0.51,True,105,14
01/04/2021 7:03 AM,MariaC82,WYNN,2021-01-08,110,2.36,0.0,-2.36,False,3,23
01/06/2021 6:33 AM,MariaC82,NIO,2021-01-08,55,2.15,1.45,-0.7,False,1,23
01/06/2021 9:27 AM,MariaC82,STM,2021-02-19,45,1.25,0.0,-1.25,False,43,9
01/08/2021 7:11 AM,MariaC82,PLTR,2021-01-22,27,1.28,1.57,0.29,True,13,9
01/11/2021 7:04 AM,MariaC82,GOGO,2021-03-19,11,1.4,1.95,0.55,True,66,12
01/13/2021 6:56 AM,MariaC82,PTON,2021-01-15,167.5,1.68,2.43,0.75,True,1,16
01/14/2021 6:40 AM,MariaC82,PTON,2021-01-15,170,3.4,2.18,-1.22,False,0,16
01/14/2021 6:58 AM,MariaC82,GM,2021-01-29,52,1.52,2.76,1.24,True,14,2
01/19/2021 7:18 AM,MariaC82,SKX,2021-02-19,43,0.78,0.0,-0.78,False,30,9
01/19/2021 7:30 AM,MariaC82,LYFT,2021-01-29,50,1.14,1.84,0.7,True,9,2
01/20/2021 6:54 AM,MariaC82,UAA,2021-03-19,20,1.27,1.54,0.27,True,57,12
01/21/2021 7:06 AM,MariaC82,TSM,2021-01-22,134,1.66,1.89,0.23,True,0,9
01/21/2021 7:37 AM,MariaC82,F,2021-03-19,11,1.61,1.76,0.15,True,56,12
01/21/2021 12:18 PM,MariaC82,TSM,2021-02-19,155,1.28,0.0,-1.28,False,28,9
01/22/2021 6:48 AM,MariaC82,FSLY,2021-01-29,108,2.77,5.21,2.44,True,6,2
01/25/2021 6:54 AM,MariaC82,GOGO,2021-02-19,20,0.5,0.0,-0.5,False,24,9
01/25/2021 7:02 AM,MariaC82,NOK,2022-01-21,7,0.8,0.0,-0.8,False,360,10
01/26/2021 6:57 AM,MariaC82,TJX,2021-03-19,72.5,1.36,1.67,0.31,True,51,12
01/28/2021 9:48 AM,MariaC82,TSM,2021-04-16,140,6.05,0.0,-6.05,False,77,14
02/03/2021 9:31 AM,MariaC82,CHWY,2021-02-05,105,2.05,3.06,1.01,True,1,23
02/04/2021 11:39 AM,MariaC82,PYPL,2021-02-19,280,4.4,6.05,1.65,True,14,9
02/05/2021 6:49 AM,MariaC82,PINS,2021-02-19,90,1.25,0.0,-1.25,False,13,9
02/05/2021 6:49 AM,MariaC82,PINS,2021-02-12,90,1.25,0.0,-1.25,False,6,16
02/05/2021 7:30 AM,MariaC82,SNAP,2021-02-12,62,1.01,1.84,0.83,True,6,16
02/08/2021 8:48 AM,MariaC82,FLEX,2021-02-12,19.5,0.6,0.0,-0.6,False,3,16
02/08/2021 12:58 PM,MariaC82,V,2021-06-18,210,11.75,23.65,11.9,True,129,12
02/09/2021 6:43 AM,MariaC82,META,2021-02-12,275,1.08,1.8,0.72,True,2,16
02/22/2021 6:36 AM,MariaC82,SNAP,2021-03-05,70,1.79,3.8,2.01,True,10,26
02/23/2021 6:34 AM,MariaC82,PDD,2021-02-26,197.5,1.93,0.88,-1.05,False,2,2
02/24/2021 7:45 AM,MariaC82,MP,2021-09-17,45,9.5,12.8,3.3,True,204,13
02/24/2021 8:22 AM,MariaC82,MA,2021-02-26,365,3.3,4.43,1.13,True,1,2
02/25/2021 7:23 AM,MariaC82,GEO,2021-04-16,9,0.5,0.0,-0.5,False,49,14
02/26/2021 6:42 AM,MariaC82,FSR,2021-03-05,25,1.18,3.66,2.48,True,6,26
03/01/2021 6:37 AM,MariaC82,PENN,2021-06-18,130,14.4,26.1,11.7,True,108,12
03/01/2021 7:09 AM,MariaC82,DKNG,2021-03-05,70,1.25,1.6,0.35,True,3,26
03/03/2021 7:26 AM,MariaC82,AA,2021-05-21,35,1.93,2.34,0.41,True,78,10
03/03/2021 8:15 AM,MariaC82,ROOT,2021-04-16,20,1.17,0.0,-1.17,False,43,14
03/09/2021 10:57 AM,MariaC82,MRVL,2021-04-16,50,1.37,0.0,-1.37,False,37,14
03/10/2021 12:08 PM,MariaC82,BOX,2021-04-16,21,1.46,1.93,0.47,True,36,14
03/11/2021 7:06 AM,MariaC82,SNAP,2021-03-19,61.5,1.03,1.92,0.89,True,7,12
03/12/2021 6:46 AM,MariaC82,LC,2021-04-16,17,0.53,1.08,0.55,True,34,14
03/15/2021 6:55 AM,MariaC82,NLS,2021-03-19,20,1.55,1.95,0.4,True,3,12
03/16/2021 6:45 AM,MariaC82,META,2021-03-19,280,3.35,4.13,0.78,True,2,12
03/17/2021 7:29 AM,MariaC82,CCJ,2021-04-16,22,0.66,0.0,-0.66,False,29,14
03/18/2021 7:07 AM,MariaC82,GM,2021-04-16,65,2.24,0.0,-2.24,False,28,14
03/18/2021 8:46 AM,MariaC82,MA,2021-10-15,390,25.43,0.0,-25.43,False,210,16
03/22/2021 7:07 AM,MariaC82,BOX,2021-04-16,24,1.55,2.25,0.7,True,24,14
03/24/2021 7:07 AM,MariaC82,UWMC,2021-06-18,10,0.75,1.08,0.33,True,85,12
