DATE,EXPINF10YR
2018-12-01,2.09134924
2019-01-01,1.95832446
2019-02-01,1.97069441
2019-03-01,1.69207771
2019-04-01,1.74737586
2019-05-01,1.80265678
2019-06-01,1.63705342
2019-07-01,1.67609847
2019-08-01,1.65909585
2019-09-01,1.56044845
2019-10-01,1.64198724
2019-11-01,1.67935282
2019-12-01,1.7145255
2020-01-01,1.7346773
2020-02-01,1.61900368
2020-03-01,1.26977517
2020-04-01,1.15834975
2020-05-01,1.16234276
2020-06-01,1.23186673
2020-07-01,1.34690049
2020-08-01,1.34095578
2020-09-01,1.35099923
2020-10-01,1.33753773
2020-11-01,1.37663264
2020-12-01,1.41717038
2021-01-01,1.37942385
2021-02-01,1.42757598
2021-03-01,1.4974036
2021-04-01,1.58314707
2021-05-01,1.57835302
2021-06-01,1.59628851
2021-07-01,1.62481074
2021-08-01,1.58016294
2021-09-01,1.64278592
2021-10-01,1.61273952
2021-11-01,1.75849648
2021-12-01,1.75897506
2022-01-01,1.7965635
2022-02-01,1.92112169
2022-03-01,1.94721641
2022-04-01,2.21125412
2022-05-01,2.37039462
2022-06-01,2.40126382
2022-07-01,2.22257318
2022-08-01,2.09959153
2022-09-01,2.36598926
2022-10-01,2.37080895
2022-11-01,2.45466999
2022-12-01,2.21937769
2023-01-01,2.28560928
2023-02-01,2.10573941
2023-03-01,2.25862414
2023-04-01,2.10348814
2023-05-01,2.16281462
2023-06-01,1.75489679
2023-07-01,2.06401319
2023-08-01,2.13876555
2023-09-01,2.22221813
2023-10-01,2.36266313
2023-11-01,2.38411387
2023-12-01,2.27266904
