Date,Open,High,Low,Close,Adj Close,Volume,ABT.csv_MA_5,ABT.csv_MA_20,ABT.csv_MA_250,ABT.csv_realVolatility20,ABT.csv_realVolatility60,ABT.csv_realVolatility250,ABT.csv_avgVolume_20,ABT.csv_avgVolume_60,ABT.csv_avgVolume_250,ABT.csv_log1DayRet,ABT.csv_logMA5_20,ABT.csv_logMA20_250,ABT.csv_logMA5_250,ABT.csv_log1DayRange,ABT.csv_HL_20_realVol_20,ABT.csv_HL_5_realVol_20,ABT.csv_logD2,ABT.csv_logD5,ABT.csv_Mean,ABT.csv_Variance,ABT.csv_Skewness,ABT.csv_Kurtosis,ABT.csv_Shape,ABT.csv_Location,ABT.csv_Scale
2020-05-15,3.927948494035313,3.879233827923265,4.146541601912716,3.4185408134494253,3.243703430793758,5591566.347176859,5.1156253566490735,5.933039368167793,4.7590443052937506,1.925834191197036,3.5494712711799803,1.9393881536009006,-370302.0174040025,1180802.8397674353,468102.19652231893,-0.19140156665614982,-0.14823697141677408,0.22048975082543212,0.07225277940865797,-1.3193545728727814,0.7555018206584126,1.0223922634934983,-0.051476369141333085,1.1445568803508264,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-18,6.522986214194404,6.41626389875411,5.92527416470115,4.866699261538898,4.60798200290332,-2968087.972563075,4.350512058285842,5.635915774076049,4.761728814022457,1.6081620910018588,3.547460075626656,1.9387098749163474,-630229.5878524289,1099578.1739672513,459322.00477056834,-0.34754226163077057,-0.258866096930284,0.16854885112478107,-0.09031724580550289,-0.7113320596486415,0.7230050081206943,0.9205888270836398,-2.8706621065696583,1.3417065587480121,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-19,4.228119352755648,3.2530029505822142,3.5998593094705384,2.920417640672248,2.77234590049828,-591347.6891322508,3.8964408522137903,5.50718346650679,4.756471248617692,1.7308749882060472,3.533951154085275,1.942326596297369,-501593.65521727985,1071889.7918162788,461355.286112857,-0.42206343946578667,-0.34598979040659206,0.1465472658758598,-0.19944252453073216,-1.0588445360672591,0.7259826831386845,0.5651954594250383,-0.7521383852508792,0.8199366607633556,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-20,4.15409704838811,4.333067888592062,4.42950807962913,5.915463465673653,5.5950180625285455,-404059.9708227543,4.176738559580106,5.3894234966649055,4.765253899691805,1.6332819379396282,3.4776705017483653,1.9411291712078642,-307884.7180379599,1029220.8245859802,452327.2125835759,0.29778148227606765,-0.25490772817357527,0.12308760126626354,-0.13182012690731165,-2.3388322447807486,0.8266892865083956,0.7816689448742263,-0.013048705641330285,0.33753491237525585,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-21,4.747088018749494,4.848126151548513,5.048388033641018,5.601835707983774,5.298563767064323,-1483779.6955233463,4.3035226327576455,5.359677471643037,4.766745024331093,1.6290305414873243,3.4602702127886675,1.9413961424052342,-398788.74714336905,975818.2553148138,445772.42409990844,0.109904415116964,-0.2194698958264361,0.11724011293780794,-0.10222978288862818,-1.6081293585018366,0.8531820290182346,0.6167681364958282,0.9267232698392763,-0.4558319382893549,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-22,5.668589328649389,5.8363919961908834,6.328844319892809,6.469692043706765,6.115965517667092,-1667821.857767472,4.877975050132312,5.340324945199658,4.778452755274322,1.6169875777116176,3.418264455791902,1.940668827214258,-402314.00659416,905022.4189235487,435837.0881802511,0.07596235886557481,-0.09055631727510705,0.11116969954292902,0.020613382267822014,-0.708357627722008,0.799016068297326,0.6942140445238407,-0.6521060961756172,1.05509990289753,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-26,7.89462011977092,7.191230679661224,5.15621967297492,3.8954268675500856,3.688492002157197,105779.38174512704,4.694077049983088,5.159932295740253,4.778732545702981,1.5882800229413523,3.357382116168406,1.9405059645362432,-252056.67925830564,743782.8072700588,439757.2828136647,-0.7609638269701369,-0.09462194656451431,0.07674810488672407,-0.017873841677790204,0.7105012275709898,0.8573696063278072,1.137609644798266,0.47627875247943474,-0.08393610966124881,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-27,2.918171719338133,3.741732674215236,4.28918691122292,6.020858649330549,5.691468269224217,-998681.4047740242,5.277901523728275,5.268375431652433,4.783430415491457,1.5440297335167135,3.3575998461592995,1.9412912852704687,-274373.88922538253,721876.5754380292,438410.1733643408,0.6680109619823875,0.001806532240124611,0.0965640985374112,0.09837063077753565,-0.6024764061590259,0.8229089921683855,1.150021668981646,-0.8568497551295382,1.071283012447884,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-28,7.097091494683951,7.308255062951872,7.836143992873595,6.896064821827999,6.515912639604217,-678962.5289142784,5.462080439143409,5.305899343452749,4.794266591651417,1.5657123673164652,3.3137529316156167,1.943378023807114,-241913.24897955684,714240.4817258249,425088.7486684597,-0.0854377678912576,0.02901046478231443,0.10139854130485845,0.13040900608717296,-0.6388693774013805,0.7946360155519702,0.827999860493701,1.0393648605141406,-0.08240971499441367,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
2020-05-29,7.010389523312114,8.490304367594888,5.979907166121677,8.965294742368734,8.465985549197782,4331545.0892749,6.095564795570101,5.454720658523748,4.814025788835032,1.7181248548020236,3.3408589211323156,1.9555078260737009,-29560.77297932869,787180.9384512651,438426.40886462334,0.18866316886619447,0.11108001439579968,0.12494771324145518,0.23602772763725477,0.9204409882227508,0.8781535823474447,0.8069393250644569,1.0204767789041125,1.1529179390277402,5.88910820062264,4.358016954845525,-0.2669748778254775,2.4124453235836363,0.006899932694699001,-294.68205897012086,300.5630457121931
