Date,Open,High,Low,Close,Adj Close,Volume,PANW.csv_MA_5,PANW.csv_MA_20,PANW.csv_MA_250,PANW.csv_realVolatility20,PANW.csv_realVolatility60,PANW.csv_realVolatility250,PANW.csv_avgVolume_20,PANW.csv_avgVolume_60,PANW.csv_avgVolume_250,PANW.csv_log1DayRet,PANW.csv_logMA5_20,PANW.csv_logMA20_250,PANW.csv_logMA5_250,PANW.csv_log1DayRange,PANW.csv_HL_20_realVol_20,PANW.csv_HL_5_realVol_20,PANW.csv_logD2,PANW.csv_logD5,PANW.csv_Mean,PANW.csv_Variance,PANW.csv_Skewness,PANW.csv_Kurtosis,PANW.csv_Shape,PANW.csv_Location,PANW.csv_Scale
2020-05-15,6.654878829193471,6.941877914629174,6.978201279104503,7.129974576730987,7.129974576730987,-177052.58595283004,6.529757085389965,5.326229481834312,3.7719054875449727,1.6232275910251317,4.05105193846672,2.624963603932753,4928.423559703073,456160.9208476106,245696.0592859826,0.06895742454672889,0.2037261692570699,0.34506326541914123,0.5487894346762111,-3.315294095306694,1.1490101364340237,1.6924907079956106,0.18394867632508313,-1.6245098145530075,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-18,8.357095754285602,8.583972862911722,8.381665832619397,7.405598659744484,7.405598659744484,-203075.6150671728,6.491435820029082,5.435491174855576,3.7830200325692034,1.6879806516857125,4.104444865065542,2.6344640196471265,48137.95700394764,422569.73374948994,244127.3584718733,-0.12087467913508958,0.1775338529504204,0.3624272479927022,0.5399611009431226,-1.5979687835965264,1.145275228254165,1.5451867670816524,-0.5888882143795543,-1.6523123930906678,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-19,7.156159823331215,7.426791281460069,7.790422222514962,6.874978902732906,6.874978902732906,2878512.617795025,6.837845464463039,5.670052390892823,3.7938590082663897,1.5309826513640932,4.147601805461025,2.6416075469353375,203231.48018051762,381187.58203591564,260738.65917745084,-0.040084924714032355,0.1872743337255857,0.40181464865529803,0.5890889823808836,-1.01161582388871,1.1062209939771683,1.4139858899223574,-1.3665086986810195,0.5493046516520796,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-20,7.757589481155684,7.543759923685876,7.933578050947858,8.811326818770354,8.811326818770354,-421712.1657476975,7.414506739432923,5.858535141866215,3.8292338953977505,1.6748366395096992,3.9079892081291807,2.6493663982130684,252907.1353614625,-26430.942079732173,249525.2014590535,0.12736638026142116,0.23553885483667844,0.4252348406758856,0.6607736955125639,-0.9420749889828167,1.0744145400551615,0.9584481924377555,0.34055543118586856,1.0589376824687615,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-21,7.992185912493234,7.797388526007737,6.500589453008985,5.67072970554463,5.67072970554463,3470959.038552036,7.178521732704672,5.922004391490921,3.843400269499982,1.6404071643948335,3.7837736327920806,2.6497079013988833,478406.22514570726,150601.9094722578,264797.4598072587,-0.343146498077358,0.19241850381810185,0.4323175095981094,0.6247360134162111,0.2598989766015907,1.078889072563933,1.3031178100917793,0.18585629987924795,0.16545090564690934,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-22,9.04481011108988,8.816605602627831,7.5322029626746385,8.824174044853777,8.824174044853777,6307105.294644299,7.51736162632923,6.130950526123442,3.870855845517312,1.7327662439149722,3.785169695988906,2.6656302344540372,802516.0267449941,251021.44559677326,287784.0126986611,-0.0246961190399236,0.20386542955256934,0.45987416798076897,0.6637395975333383,0.25029373862911064,1.096961419811418,0.828321551249983,-4.3546273599382985,0.5272103390752274,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-26,7.648156260665253,6.941209668021642,6.416555725598599,5.080965715409953,5.080965715409953,-2266524.782868636,7.052435037462324,6.112189091406365,3.880081368395443,1.7424609143463203,3.7283118280888154,2.665811984557345,605024.4519431863,187251.7860494392,260713.45361159404,-0.4089632621306681,0.14308796345789293,0.4544288644645289,0.5975168279224219,-0.6450163910196332,1.0908737010906504,0.6294310693911491,-0.5280328388312878,0.8435621531714994,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-27,4.204060586212734,3.765854272816597,3.660731497368268,5.958408604063784,5.958408604063784,-1388688.618799555,6.8691209777285,6.227834538740007,3.9071487702836207,1.6441098216470849,3.7300054998654733,2.6523353834694627,569344.051548114,209880.5561232693,218069.20838562044,0.34875256820772715,0.09800746090747484,0.46622079307063113,0.5642282539781059,-2.2526263219276306,1.1201707109340573,1.0357272664674504,1.0528354840434784,-0.08711651124063614,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-28,5.177218600637914,5.436049646669751,6.233053849478523,5.06466759894851,5.06466759894851,-2108314.0288116904,6.119789133764131,6.2131967237529455,3.9283778834664673,1.6535432822952474,3.6739902586249262,2.640199381700169,469736.3900290219,199638.49859453348,222676.24527724995,-0.02197945388992544,-0.015147893163840107,0.45844894545029535,0.4433010522864553,-0.22689532692003925,1.1258721599198875,1.0374351929938772,-4.116705732359106,1.3208645682034255,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
2020-05-29,5.2855796996347735,6.296433200989192,6.258491259865458,7.344604390921745,7.344604390921745,-162949.3720983509,6.454564070839554,6.366680645048521,3.958327343757923,1.6059420228647727,3.6941045532973935,2.636296487092268,531907.4481501172,231873.03684170067,225541.91072126958,0.3289836461372731,0.013709246513940674,0.4752566938438663,0.4889659403578071,-3.2716981527968696,1.2400999792409821,1.4793568711819185,0.32656315115068557,0.5151411098727748,8.982613401035133,41.24397726668476,0.8702615705648599,1.5651598496773502,0.17024524891252102,-27.781133285373016,36.23011520664002
