Date,^CRSLDX_Open,^CRSLDX_Adj Close,^CRSLDX_Volume,^CRSLDX_High,^CRSLDX_Low,^CRSLDX_MA_5,^CRSLDX_MA_20,^CRSLDX_MA_250,^CRSLDX_realVolatility20,^CRSLDX_realVolatility60,^CRSLDX_realVolatility250,^CRSLDX_avgVolume_20,^CRSLDX_avgVolume_60,^CRSLDX_avgVolume_250,^CRSLDX_log1DayRet,^CRSLDX_logMA5_20,^CRSLDX_logMA20_250,^CRSLDX_logMA5_250,^CRSLDX_log1DayRange,^CRSLDX_HL_20_realVol_20,^CRSLDX_HL_5_realVol_20,^CRSLDX_logD2,^CRSLDX_logD5
2019-11-18,493.2498517104023,342.4639516965972,5850769.566769136,351.54567895918444,393.7785681058949,,,,,,,,,,-0.3648494426227027,,,,3.743199281161934,,,,
2019-11-19,454.9433842089147,326.28579317905496,7479187.277097799,462.3010802695362,382.7914527824687,,,,,,,,,,-0.3323993173860214,,,,4.3758781147944745,,,,
2019-11-20,194.5053314773913,393.3297917686359,-2332906.6498124525,261.605432203115,326.1289719592205,,,,,,,,,,0.7041888508953854,,,,4.167030114679952,,,3.9291915798281676,
2019-11-21,643.9015250105867,558.2034802474145,4354937.383020103,518.724503980784,550.6505182064202,,,,,,,,,,-0.14282224708732114,,,,3.463421170423727,,,5.446382511591781,
2019-11-22,521.4388455809767,447.16454458457247,81001.42804146744,465.8830125623572,550.506547973162,413.489512295255,,,,,,,,,-0.15366536561252772,,,,4.43821242426796,,0.4207218945436165,3.985919221744862,
2019-11-25,182.7482614898672,198.36784724458084,-2220800.010908406,152.6587106420939,209.240710015868,384.67029140485175,,,,,,,,,0.08201353592512431,,,,4.035690902360676,,0.3886770933916548,5.885647352195928,4.970480468996871
2019-11-26,281.3305664630043,430.8596203160487,2230690.08177869,366.9193546466768,312.17584970539974,405.5850568322505,,,,,,,,,0.42625195909406266,,,,4.002658730449821,,0.3559622756066187,2.791467164552409,4.649893301745346
2019-11-27,463.0418940982963,472.0288661943123,2845743.7680236325,454.3173412616097,516.8967048333534,421.32487171738575,,,,,,,,,0.01922260690046852,,,,4.13643556835431,,0.3530844715968482,5.611890183359669,4.365631394562285
2019-11-28,340.6172105804744,285.41748486255256,-1414066.229587559,341.94521041655025,372.7560232131873,366.76767264041337,,,,,,,,,-0.1768063295594724,,,,3.427865693196569,,0.3670590570035877,4.979778313032436,5.608687588085785
2019-11-29,413.7047442835692,446.8611720289273,-2974820.03657683,414.7318179168369,466.2252753309822,366.70699812928433,,,,,,,,,0.07709542792416095,,,,3.941454759097329,,0.27798059864099234,3.2255611945170815,-1.1927936721736565
2019-12-02,498.64728971488967,469.2622993380446,425833.6376076881,428.3497926422642,433.03714766361736,420.88588854797706,,,,,,,,,-0.06073712583477376,,,,1.5448684620402282,,1.0770828482182457,5.214092002157732,5.601729269344478
2019-12-03,448.0091902140712,550.0023746016577,3007077.449259063,531.3461015572539,521.9643586803877,444.7144394050989,,,,,,,,,0.20510884959948258,,,,2.238765553526255,,1.1226117174376966,4.636098948170221,4.780322389992825
2019-12-04,669.7470810568657,690.485810865056,7677826.25542498,671.503015585401,700.0684514940376,488.40582833924765,,,,,,,,,0.030495273407695866,,,,3.352197452295823,,0.9799693759352371,5.399173554808986,5.3865889455570155
2019-12-05,355.49672341200585,144.56938492327845,-468896.0549194962,270.0101136014164,207.05891210305165,460.2362083513928,,,,,,,,,-0.8997564675709467,,,,4.142359846858881,,1.1183249666645088,6.004955606332094,4.947682004272386
2019-12-06,350.02701849355253,240.1608422129784,-2143060.1713186447,333.01207334284845,279.0255892930127,418.89614238820303,,,,,,,,,-0.37670147243806523,,,,3.9887337198617483,,1.1279693384969176,6.109969474697845,5.331270062312714
2019-12-09,223.93719429292287,360.81413667358174,2250302.9972007666,260.2300414588981,272.8281525642305,397.20650985531046,,,,,,,,,0.47699733896908975,,,,2.533546890444258,,0.8497605263499529,5.376410876154724,4.686272295354016
2019-12-10,318.71171119999417,301.8675205980944,-3247907.4729966875,295.1444505720492,379.1915343438805,347.57953905459783,,,,,,,,,-0.05429871991868401,,,,4.4313771629032725,,0.7574637091554907,4.122392164682965,5.513972364521146
