Date,^MXX_Open,^MXX_Adj Close,^MXX_Volume,^MXX_High,^MXX_Low,^MXX_MA_5,^MXX_MA_20,^MXX_MA_250,^MXX_realVolatility20,^MXX_realVolatility60,^MXX_realVolatility250,^MXX_avgVolume_20,^MXX_avgVolume_60,^MXX_avgVolume_250,^MXX_log1DayRet,^MXX_logMA5_20,^MXX_logMA20_250,^MXX_logMA5_250,^MXX_log1DayRange,^MXX_HL_20_realVol_20,^MXX_HL_5_realVol_20,^MXX_logD2,^MXX_logD5
2019-11-19,1308.5051396272793,617.4093273729632,37914900.85325019,939.4721387705432,811.939725961518,,,,,,,,,,-0.7511084303817269,,,,4.848370550400534,,,,
2019-11-20,733.9934258899011,959.3708652620188,55841672.19672033,700.372464196138,668.7775792639623,,,,,,,,,,0.26777764892053163,,,,3.452995238255684,,,,
2019-11-21,1345.8390655253752,2105.5839786776924,-54902634.09097096,1859.8134700241533,1896.674482677896,,,,,,,,,,0.4475751941237468,,,,3.6071544248361636,,,7.305305581694006,
2019-11-22,1699.2163961207916,1423.8589571447228,-24734363.03713557,1228.622257152685,1516.6987210668267,,,,,,,,,,-0.17679644020133956,,,,5.663225944599018,,,6.140935921504831,
2019-11-25,1252.772931504729,900.6397441217632,-43468923.36474028,1082.791440363697,1183.7369533188976,1201.3725745158322,,,,,,,,,-0.3300093809966757,,,,4.61458089558081,,0.9166923514680474,7.094188566477056,
2019-11-26,1278.4167095133344,1536.2626016813883,54352191.10294141,1400.1125835610692,1618.4021453753269,1385.1432293775172,,,,,,,,,0.18373021815896046,,,,5.385822446628252,,1.0042760545900826,4.722096361637352,6.823126451620338
2019-11-27,1489.3786341669947,1471.489670731709,19089245.0572595,1422.8723180946,1584.9439152601262,1487.5669904714553,,,,,,,,,-0.012083739813223306,,,,5.088038195409687,,0.8066633670082646,6.347126349559564,6.238556640054931
2019-11-28,1517.3035392626662,1816.5194058697307,98899003.40294756,1707.965560098819,1497.6801158996022,1429.7540759098629,,,,,,,,,0.17998748358022182,,,,5.348465865853958,,0.39509366192435974,5.635706340652517,5.666650098476145
2019-11-29,1846.8255088676012,2037.2451535403416,-27636813.523151662,1873.13766699014,1897.3172741998203,1552.4313151889867,,,,,,,,,0.09813025626873764,,,,3.1855096006246133,,0.9137032419220221,6.338161975688309,6.418994747996262
2019-12-02,2044.5230128743424,2680.5974482699385,148371309.2427541,2545.155996191759,2299.2165499279217,1908.4228560186216,,,,,,,,,0.2708751813862659,,,,5.505085352232608,,0.9718636305604024,6.761663091576923,7.484344881289308
2019-12-03,2863.158177666693,3233.85840060209,-68819701.45712438,3183.7428352523675,3005.017367163895,2247.942015802762,,,,,,,,,0.12175070208301185,,,,5.185850930692555,,0.9508941606133989,7.087250551479434,7.436968293139822
2019-12-04,3122.168754807779,2183.2735025420225,39306281.13290286,2471.422539499737,2406.817930497328,2390.298782164825,,,,,,,,,-0.3577025168744853,,,,4.168285755030016,,0.9847387196490789,6.209241616035238,6.56777425830605
2019-12-05,1899.6184255879048,2089.104803992159,10710089.3334696,1825.0662281313707,1786.4034462832317,2444.8158617893105,,,,,,,,,0.0950826134056228,,,,3.6548774279461824,,0.9880048642703935,7.042944693362303,5.607951952612901
2019-12-06,2139.8930942484403,2331.5793574458366,-70003186.88732879,2386.389977941777,2637.167812167834,2503.682702570409,,,,,,,,,0.08579000193709131,,,,5.52456742457412,,0.8486892561539532,4.999276728498176,5.68471586970779
2019-12-09,2395.4303066053835,2551.362727080519,-24151024.98446824,2359.844302653677,2460.0811535636494,2477.8357583325255,,,,,,,,,0.06306473575155042,,,,4.607535894591267,,0.7539486164238798,6.136123010387211,4.861630295100602
2019-12-10,2669.8379721481324,2118.9465674515304,-22831825.380154267,2503.37099458238,2406.443016744175,2254.8533917024133,,,,,,,,,-0.23109872294042638,,,,4.573968206202971,,0.6875444058621487,5.359566687290313,7.016530607360183
