Date,^KS11_Open,^KS11_Adj Close,^KS11_Volume,^KS11_High,^KS11_Low,^KS11_MA_5,^KS11_MA_20,^KS11_MA_250,^KS11_realVolatility20,^KS11_realVolatility60,^KS11_realVolatility250,^KS11_avgVolume_20,^KS11_avgVolume_60,^KS11_avgVolume_250,^KS11_log1DayRet,^KS11_logMA5_20,^KS11_logMA20_250,^KS11_logMA5_250,^KS11_log1DayRange,^KS11_HL_20_realVol_20,^KS11_HL_5_realVol_20,^KS11_logD2,^KS11_logD5
2019-11-18,112.14923242745726,138.0022216092309,129559.37638591556,125.3059319309973,121.8135077343636,,,,,,,,,,0.2074393668624313,,,,1.2505961072988876,,,,
2019-11-19,125.51088505834672,85.62950781372547,122120.36441552488,104.35173670580252,114.58665996464674,,,,,,,,,,-0.3823625471469955,,,,2.325805721170558,,,,
2019-11-20,107.06409179169508,128.46202614915546,-28704.557685520267,115.17966153651491,121.28328683104633,,,,,,,,,,0.1822057004655238,,,,1.8088829052255935,,,2.2555139737278185,
2019-11-21,99.54005703801522,113.740929947548,21562.570729868603,105.95696816440976,103.78056650201324,,,,,,,,,,0.1333631714807956,,,,0.7776728994579184,,,3.3361759753791174,
2019-11-22,155.23192423560636,167.19793709816508,827455.1710128565,168.3921691076382,170.03064100898223,126.60652452356499,,,,,,,,,0.07425807865417285,,,,0.4937640399977967,,0.7469286478682969,3.656767101272408,
2019-11-25,143.00629222987686,120.08576782555474,-140687.2662142167,134.52165233785922,136.51489690463904,123.02323376682975,,,,,,,,,-0.17468241153691677,,,,0.689763746587056,,0.8021546620505472,1.8476415496983458,2.8857194964277424
2019-11-26,106.7232953854857,100.54528254962544,140898.8271871626,99.14130531751243,75.9714927755283,126.00638871400974,,,,,,,,,-0.05963126183525057,,,,3.1428502478627487,,1.1086237283586755,4.199494874016738,2.702419360023665
2019-11-27,80.57319417997064,124.18741791194476,-231107.62583864515,107.67303408554494,100.11003155046753,125.1514670665676,,,,,,,,,0.4326258435270266,,,,2.023268272068523,,1.1331083862910951,1.4113893528400485,1.4526924577709341
2019-11-28,147.47010216066474,134.74274075345693,-194952.60779669363,133.9794935762866,152.95257503315156,129.3518292277494,,,,,,,,,-0.09025812163972802,,,,2.9430212091772114,,1.2330185583328936,3.532151319781183,3.044608662858735
2019-11-29,123.05995282545656,97.28901944513814,164363.56529189995,105.61034824126295,112.6933345084244,115.370045697144,,,,,,,,,-0.23498552771071943,,,,1.9576956079246879,,0.9746739671760126,3.292066748285483,4.247193218398996
