Date,^KLSE_Open,^KLSE_Adj Close,^KLSE_Volume,^KLSE_High,^KLSE_Low,^KLSE_MA_5,^KLSE_MA_20,^KLSE_MA_250,^KLSE_realVolatility20,^KLSE_realVolatility60,^KLSE_realVolatility250,^KLSE_avgVolume_20,^KLSE_avgVolume_60,^KLSE_avgVolume_250,^KLSE_log1DayRet,^KLSE_logMA5_20,^KLSE_logMA20_250,^KLSE_logMA5_250,^KLSE_log1DayRange,^KLSE_HL_20_realVol_20,^KLSE_HL_5_realVol_20,^KLSE_logD2,^KLSE_logD5
2019-11-18,86.78452990704113,72.94762653888074,-17837151.44580686,75.71459190511473,84.08807942663236,,,,,,,,,,-0.173686639915668,,,,2.1250704669563336,,,,
2019-11-19,81.095702822401,81.76330192443584,-21618215.28037083,77.99243772370846,86.27441417251907,,,,,,,,,,0.008198537655496975,,,,2.114081641459662,,,,
2019-11-20,70.08012443003213,64.5792622377503,-59562809.90531182,65.58517810373598,67.62058900061425,,,,,,,,,,-0.08174588090948624,,,,0.7106977134403754,,,2.1244584414048737,
2019-11-21,68.44247113275719,67.70026244201085,-39726221.76391816,66.56909179411002,70.0031904090556,,,,,,,,,,-0.010903498474659478,,,,1.2337544792864767,,,2.6435500424234557,
2019-11-22,73.35373366453791,84.77462269794,14371497.123670563,82.48267796706114,76.08511588707188,74.35301516820354,,,,,,,,,0.14470283204074133,,,,1.8559169927935892,,0.6184970469501311,3.0054528978379964,
2019-11-25,86.7757916388133,93.54420043161235,51251379.53535001,96.83050854987208,91.01516544012908,78.47232994674987,,,,,,,,,0.07510637188440293,,,,1.7604997884849747,,0.5611141909708944,3.252076066281243,3.0251247460767
2019-11-26,85.57727296677376,82.52503095738405,20253796.32959785,88.83181967224857,84.96504566812303,78.62467575333952,,,,,,,,,-0.036318092304472485,,,,1.3524205687465574,,0.45862721213106905,0.8107487511107353,-0.2721643863415926
2019-11-27,94.08632060932212,101.16903519130732,14864849.059699131,99.80223157936712,98.18018836050942,85.94263034405091,,,,,,,,,0.07258006842156038,,,,0.48368660074988945,,0.5449008575437663,2.031410651398982,3.599768773861741
2019-11-28,101.70756816987388,95.259671496137,34472372.66170357,103.89863178800522,104.06251267210098,91.45451215487614,,,,,,,,,-0.06549517003263639,,,,-1.808615431542812,,1.518408495087667,2.54432588178672,3.316344003757594
2019-11-29,86.5353894690229,57.567644986492496,4849630.959963694,71.79017381644007,62.922443956175584,86.01311661258664,,,,,,,,,-0.4075927661836668,,,,2.182418828983414,,1.5845790982148087,3.775089035278192,3.3034734739119567
2019-12-02,44.47242850334271,70.84609425274448,34760611.650972724,54.908955748895664,51.98315352117163,81.47349537681308,,,,,,,,,0.4656404246709013,,,,1.0735687089683652,,1.5077581361615833,3.19513942194271,3.1222814927633213
2019-12-03,85.8370103874488,72.87791638939791,-20674270.57825978,79.85436590721474,83.93727466666519,79.54407246321584,,,,,,,,,-0.16366460704811084,,,,1.4068096656391729,,1.5142146979084439,2.7285239366780734,2.2666588621400945
2019-12-04,66.19348206613495,62.07872241865698,-5555705.863534406,59.06502101047306,66.2494416576892,71.72600990868577,,,,,,,,,-0.06417870381332548,,,,1.9719148826287227,,1.6121345673364196,2.171037084629083,3.665874681119753
2019-12-05,66.91669302785272,68.74144540825432,-69384922.84181263,68.36941981268808,73.68335565281018,66.42236469110924,,,,,,,,,0.026903840279983875,,,,1.6703327735203035,,0.44111251611214,1.4198430043070633,3.277832273483269
2019-12-06,70.7797972498247,72.3657480287992,37733286.3736148,69.19000130558334,70.74011523161437,69.38198529957057,,,,,,,,,0.02215948352175883,,,,0.43832842889529505,,0.5901335048303,2.330883451709537,2.6944989997381175
2019-12-09,72.15372269818545,80.32288834892563,-10517766.387810692,79.59719826799574,77.05847184326785,71.27734411880681,,,,,,,,,0.10725573527908198,,,,0.9316625476961781,,0.60763147074025,2.44940407065772,2.248846083564381
