Date,^AFLI_Open,^AFLI_Adj Close,^AFLI_Volume,^AFLI_High,^AFLI_Low,^AFLI_MA_5,^AFLI_MA_20,^AFLI_MA_250,^AFLI_realVolatility20,^AFLI_realVolatility60,^AFLI_realVolatility250,^AFLI_avgVolume_20,^AFLI_avgVolume_60,^AFLI_avgVolume_250,^AFLI_log1DayRet,^AFLI_logMA5_20,^AFLI_logMA20_250,^AFLI_logMA5_250,^AFLI_log1DayRange,^AFLI_HL_20_realVol_20,^AFLI_HL_5_realVol_20,^AFLI_logD2,^AFLI_logD5
2019-11-18,169.0187207764125,383.3783019000657,-77380.52410789952,265.34534770055143,285.52437927908704,,,,,,,,,,0.8190127525004745,,,,3.004644024603263,,,,
2019-11-19,382.7805869086769,373.986307004885,34794.25652872393,319.3072991725803,393.03468694984304,,,,,,,,,,-0.023242760430238693,,,,4.3003743417965765,,,,
2019-11-20,373.7648056889693,291.92401737408227,-20408.303817907115,322.2901158389486,356.6124129189484,,,,,,,,,,-0.2471331838695163,,,,3.535795203615391,,,4.515839224761636,
2019-11-21,256.87664742027255,237.18307054534944,62422.35485775035,189.60939911887044,242.85850044053493,,,,,,,,,,-0.07976370603691035,,,,3.9749809278586627,,,4.918543663238535,
2019-11-22,254.7277044939724,328.6989164077895,-35885.7954965512,356.44681026466424,335.6936127776494,323.0341226464344,,,,,,,,,0.25494703495263743,,,,3.0327003305649276,,0.5716082705322122,3.6048155209693133,
2019-11-25,332.571243566118,155.50901799362373,-37435.49707417711,234.52519335657465,233.12634521520292,277.46026586514597,,,,,,,,,-0.7601503800425586,,,,0.3356491418085472,,1.5828793778882533,4.4027363571961065,5.4287721483460505
2019-11-26,158.12416057672317,91.8970843173961,2289.5444619542686,111.7645297953245,125.64317353854176,221.0424213276482,,,,,,,,,-0.542711248691398,,,,2.6303512372797364,,1.4168457456109516,5.467223639848137,5.642223413405385
2019-11-27,93.48554024652684,169.00029180618412,27721.543316892465,94.85343934884033,82.97973349953145,196.45767621406858,,,,,,,,,0.592093667020028,,,,2.474326362871001,,1.3379894398110745,2.6020430921932296,4.811564045685977
2019-11-28,170.15199662293708,180.4624828079077,-42913.2542663755,183.2373434510473,229.58206377868464,185.11355866658022,,,,,,,,,0.05883076932417371,,,,3.836107376734927,,1.3003587822900469,4.48374124510743,4.038137244254843
2019-11-29,181.3669289004738,227.73680743119803,-48198.06968686258,176.90852390295686,242.83815660554453,164.92113687126192,,,,,,,,,0.22766839810420955,,,,4.188588002088723,,1.512640410201749,4.07306160540387,4.614745287804039
2019-12-02,228.48331725097296,284.4008012804052,-72714.21967938365,247.0272217116526,231.4018671338072,190.69949352861823,,,,,,,,,0.21892131754042446,,,,2.748894888347089,,0.7799956494169072,4.64379763158237,4.85897316304742
2019-12-03,285.0382684517067,238.68512706270167,41208.78164929943,275.19632252997553,278.4816783311062,220.05710207767933,,,,,,,,,-0.17747822319426867,,,,1.1894749569178504,,1.1901574286993846,2.3931859861764084,4.988989660174311
2019-12-04,239.24297434822165,325.67273171549505,-7689.1688224150275,266.57859061694626,296.7593429187582,251.39159005954153,,,,,,,,,0.3084133221017305,,,,3.4072043801931065,,1.182293024607598,3.72018261841781,5.054157255841996
2019-12-05,326.14012952102894,402.3172864458688,160210.056685468,402.9036001704744,356.5076965406661,295.76255078713376,,,,,,,,,0.2099139129090022,,,,3.8372111714946247,,1.1824709785081242,5.0976209780974004,5.402023130229499
2019-12-06,402.7373398813229,51.50557427353988,21274.21693749231,297.65518565194,142.9655381080329,260.51630415560214,,,,,,,,,-2.056594547242851,,,,5.041420835778767,,1.420867297669778,5.6137379840316575,5.171796957485026
2019-12-09,51.887389572446864,247.33032304300696,-62111.06651597604,93.83210541529434,131.8510186647277,253.1022085081225,,,,,,,,,1.561648998274258,,,,3.6380837529966694,,1.3987495327626243,5.043341006303737,3.6128209180073507
2019-12-10,247.6805714149541,321.17186655212254,-43905.35969558699,263.6677320302365,341.1260858077585,269.5995564060066,,,,,,,,,0.25983649220089344,,,,4.349740421311348,,0.6520712994512949,5.597185240052889,4.412637546960063
2019-12-11,317.59567479854104,247.7517068626289,-47151.87760253137,243.95682347716863,291.43460988119523,254.01535143543342,,,,,,,,,-0.2483520482457651,,,,3.860261947003983,,0.5653012842273795,-0.8642111750697926,4.35569581187697
