Date,SI=F_Open,SI=F_Adj Close,SI=F_Volume,SI=F_High,SI=F_Low,SI=F_MA_5,SI=F_MA_20,SI=F_MA_250,SI=F_realVolatility20,SI=F_realVolatility60,SI=F_realVolatility250,SI=F_avgVolume_20,SI=F_avgVolume_60,SI=F_avgVolume_250,SI=F_log1DayRet,SI=F_logMA5_20,SI=F_logMA20_250,SI=F_logMA5_250,SI=F_log1DayRange,SI=F_HL_20_realVol_20,SI=F_HL_5_realVol_20,SI=F_logD2,SI=F_logD5
2019-11-18,1.1981058336251316,0.7599876334268565,-252.25707902547407,0.7040455435241917,1.2470536983678056,,,,,,,,,,-0.4551949553564048,,,,-0.6106309410327703,,,,
2019-11-19,1.5444929196769763,1.4938759927677785,-229.5500014008468,1.4474384200785444,1.587063768715172,,,,,,,,,,-0.033321569385589875,,,,-1.9687925246460047,,,,
2019-11-20,1.2202654288079522,0.5751097016065625,-221.35792694750603,1.0926276573856946,0.7004197845691316,,,,,,,,,,-0.7522628706573923,,,,-0.9359632919472072,,,-1.6880594996845213,
2019-11-21,0.6859517215548312,0.9230176257084182,-212.5017183939944,0.6078255679103517,0.9996922617093312,,,,,,,,,,0.2968410819222217,,,,-0.9368335638668525,,,-0.5606141437729267,
2019-11-22,0.5276555608620992,0.5706444445339027,-202.29234910212028,0.4680281029469402,0.6293654211673374,0.8645270796087037,,,,,,,,,0.07832260263877608,,,,-1.8242579615254422,,0.6024491149171081,-5.411428491247277,
2019-11-25,1.0312315209134582,1.0475094925825736,-193.7332767735968,0.9824659495406216,1.0957281433396204,0.9220314514398471,,,,,,,,,0.015661695512448146,,,,-2.178049848900817,,0.590826125355225,-2.0835148915232353,-1.2464563897890335
2019-11-26,0.7897407331744599,0.1860198889949718,-183.0078386882642,0.7483103510406401,0.2271504766166998,0.6604602306852858,,,,,,,,,-1.4458511076641087,,,,-0.651698423602343,,0.6577198844028874,-0.9554876009104891,0.26838923457708724
2019-11-27,0.6791296040784953,0.9902898968208316,-155.56721239188894,0.6430452938095623,1.0262493384458526,0.7434962697281395,,,,,,,,,0.37718574105938496,,,,-0.9591876780447606,,0.6545332747075642,-2.8608588560173875,-0.8790426476557087
2019-11-29,0.9149083507380116,0.9131342353006248,-121.13632632372789,1.1179203606512207,0.9451144461251372,0.741519591646581,,,,,,,,,-0.001941000727151736,,,,-1.7555861956164303,,0.6400915806871943,-0.3186715286644255,-4.616899667404293
2019-12-02,0.6833849333976332,0.7657103484337817,-135.9994194814371,0.5371719976003568,0.7944852501122064,0.7805327724265567,,,,,,,,,0.11374567012285287,,,,-1.3574610549506807,,0.6095001980285808,-1.4935252987621555,-1.6344178087996244
