Date,HO=F_Open,HO=F_Adj Close,HO=F_Volume,HO=F_High,HO=F_Low,HO=F_MA_5,HO=F_MA_20,HO=F_MA_250,HO=F_realVolatility20,HO=F_realVolatility60,HO=F_realVolatility250,HO=F_avgVolume_20,HO=F_avgVolume_60,HO=F_avgVolume_250,HO=F_log1DayRet,HO=F_logMA5_20,HO=F_logMA20_250,HO=F_logMA5_250,HO=F_log1DayRange,HO=F_HL_20_realVol_20,HO=F_HL_5_realVol_20,HO=F_logD2,HO=F_logD5
2019-11-18,0.0014431764026933,0.0124459587038309,-5240.212174664724,-0.0273966179090066,-0.0302581876438814,,,,,,,,,,2.154549448605256,,,,-5.856384946370197,,,,
2019-11-19,-0.0035980443818905,-0.0413301691351908,4514.490831767762,-0.0152783602987575,-0.0136013878622209,,,,,,,,,,2.4412022502176702,,,,-6.390765232449904,,,,
2019-11-20,-0.0515887070071169,-0.0446222457319087,-3903.80383561644,-0.0563368890068723,-0.0430680072550907,,,,,,,,,,-0.14507027418206134,,,,-4.322333703082468,,,-2.8635081574177055,
2019-11-21,-0.0368843991612409,0.0114605346488126,3856.842174437432,-0.0205503785703062,-0.013776632399843,,,,,,,,,,,,,,-4.994700996433703,,,-2.9414201684680346,
2019-11-22,0.0170809319294159,0.0141187620352999,-5856.173268284994,0.0054484165264645,0.0301606471343881,-0.00958543189583122,,,,,,,,,-0.19045819581648443,,,,-3.700456991589893,,1.0956376869683726,-2.834617196954192,
2019-11-25,0.0050219356600638,-0.0577764835443584,-8851.450369558257,-0.0115342081435618,-0.0392514904063858,-0.02362992034546908,,,,,,,,,,,,,-3.585699151933578,,1.1486627110845116,-2.670219614402556,-2.656087328895231
2019-11-26,-0.0519092455177502,-0.1834760779494691,-1701.4819600990304,-0.0476250974144848,-0.1897016700876818,-0.05205910210832474,,,,,,,,,1.262587378294596,,,,-1.9513891225433273,,1.1328789660749252,-1.6215366074467352,-1.9509012220641402
2019-11-27,-0.1519823204433874,-0.0887394500809737,-6979.603855467263,-0.144893506499155,-0.1298259377206055,-0.060882542978137735,,,,,,,,,-0.538059652246365,,,,-4.1952106079219895,,1.117042591925765,-3.47496341648477,-3.120905451312872
2019-11-29,-0.1066647437425506,-0.0614399800978307,-12173.325573604983,-0.0525970269440725,-0.0351215496178736,-0.0754626459274664,,,,,,,,,-0.5516299146387511,,,,-4.046956676431363,,0.8983484957179131,-2.103438393984104,-2.6186595789959743
2019-12-02,-0.0840262352427997,-0.1371796602100524,2571.731218921453,-0.128160098861816,-0.1286855406715603,-0.10572233037653686,,,,,,,,,0.490162380704647,,,,-7.551271106900828,,2.041214715795073,-3.0274250223818258,-1.888501086230617
