Date,^GDAXI_Open,^GDAXI_Adj Close,^GDAXI_Volume,^GDAXI_High,^GDAXI_Low,^GDAXI_MA_5,^GDAXI_MA_20,^GDAXI_MA_250,^GDAXI_realVolatility20,^GDAXI_realVolatility60,^GDAXI_realVolatility250,^GDAXI_avgVolume_20,^GDAXI_avgVolume_60,^GDAXI_avgVolume_250,^GDAXI_log1DayRet,^GDAXI_logMA5_20,^GDAXI_logMA20_250,^GDAXI_logMA5_250,^GDAXI_log1DayRange,^GDAXI_HL_20_realVol_20,^GDAXI_HL_5_realVol_20,^GDAXI_logD2,^GDAXI_logD5
2019-11-18,885.6381104591546,810.615442687641,-22388484.82173985,842.4288248334487,972.7288500695968,,,,,,,,,,-0.08851464901156841,,,,4.869839677808049,,,,
2019-11-19,671.4971146223597,283.2794508664947,17587304.208971426,569.9200324861058,351.1236022547164,,,,,,,,,,-0.863075849721601,,,,5.388141755201703,,,,
2019-11-20,390.7068097440915,472.55043876683067,-19563305.57566075,356.01077962735235,490.0847886291276,,,,,,,,,,0.1901870584419056,,,,4.898391953469495,,,5.823238196284373,
2019-11-21,685.5570779096379,814.1816457251234,29567474.72652008,786.6214316979549,818.030304940432,,,,,,,,,,0.1719517329298202,,,,3.4470904403339593,,,6.274577813803398,
2019-11-22,706.4492610682528,709.7148282802582,-25843711.807673737,600.2382900506418,571.4904730469043,618.0683612652696,,,,,,,,,0.0046118568103391076,,,,3.3585618340557257,,0.9270800481620807,5.46875352732629,
2019-11-25,455.1942470207323,221.8507721044989,8519679.685910076,411.6174747771729,388.80972259924056,500.31542714864116,,,,,,,,,-0.7187192862584896,,,,3.1271004859748905,,1.025126063830454,6.384065386895969,6.378026563208102
2019-11-26,376.97890907781766,575.9422775936437,-25381744.87904603,394.40863968525264,550.9475527683253,558.8479924940709,,,,,,,,,0.4238182013708343,,,,5.053304624971168,,0.9210040455216788,4.89614097482859,5.679021184358662
2019-11-27,529.7330985141307,631.4440839455783,-5827301.724704437,644.4187384341167,537.8302485593731,590.6267215298205,,,,,,,,,0.17563610105518127,,,,4.668975530993437,,0.8677966207262577,6.015164745078997,5.068235080161118
2019-11-28,380.3584438096941,401.205546300338,17211374.00688085,450.51440029499554,509.0157239356877,508.0315016448634,,,,,,,,,0.053359798968983393,,,,4.069049380318456,,0.8245905492422239,5.1632804485790755,6.023389720644296
2019-11-29,703.7003763700232,801.5187607216067,9851917.395246623,672.8667146761782,745.1569492546041,526.3922881331331,,,,,,,,,0.1301557149727381,,,,4.280689051970642,,0.7271363877605159,5.136237615750285,4.519655133760691
2019-12-02,705.0563118338832,791.7939652321784,30898638.326263413,834.0019341511234,764.8841262303822,640.380926758669,,,,,,,,,0.11602353849789003,,,,4.235812409883249,,0.39715354849690354,5.967654368570973,6.345536694682581
2019-12-03,785.0112200521235,1003.5542015998044,16732848.72274962,926.612652704246,812.3273544161539,725.9033115599011,,,,,,,,,0.24560516859333262,,,,4.738697938626795,,0.29059246706027675,5.308443131903741,6.058216064651143
2019-12-04,1068.472459769856,569.296245026876,31299549.574948847,886.2955843617146,764.3837275558508,713.4737437761607,,,,,,,,,-0.6295843595984107,,,,4.803298298417212,,0.3258961258547505,5.404916855285498,4.129516045328061
2019-12-05,195.0500782597219,241.19628645271587,-1250815.7755134702,126.9849291396049,293.40420819585324,681.4718918066362,,,,,,,,,0.2123547314198771,,,,5.114510381388921,,0.3721202668604523,6.6364161503272605,5.075231687606827
2019-12-06,540.6453242881516,701.483929016963,-29888327.552124877,574.6440189563009,568.0594157872465,661.4649254657076,,,,,,,,,0.260434518786071,,,,1.8847340705174653,,1.3078886929320763,4.884222761126811,4.605518442386229
2019-12-09,635.4860195971396,491.80655003850006,-19366407.182716787,590.9328012139085,637.7639301797917,601.4674424269718,,,,,,,,,-0.2563046431333547,,,,3.8465481306538103,,1.3134798804995629,5.523898997671912,5.703740524421897
2019-12-10,523.2503205892608,693.8597307050532,-2861225.9549132586,565.6957139081633,619.5317090466569,539.5285482480216,,,,,,,,,0.2822098489242623,,,,3.985942298069319,,1.2608406360443947,2.0313271775442763,5.735586233719212
2019-12-11,796.206915974476,773.0872658531771,-23389358.75072373,727.5382001526759,804.4739666942314,580.2867524132819,,,,,,,,,-0.029467162104424988,,,,4.342970872955585,,1.1959970044805195,5.639353159340975,5.317095061065806
2019-12-12,747.8900699105598,606.9262484285618,-5861670.493990906,719.1935702536503,619.4990384625789,653.432744808451,,,,,,,,,-0.20884871990137238,,,,4.602110828834487,,1.0747530620512886,4.465143254686118,5.90189525227733
2019-12-13,517.515414416499,616.6263871077554,-4819816.993939526,566.8794463964141,661.9490449141285,636.4612364266095,610.59670282268,,209.22094641435606,,,-1238669.243262821,,,0.17522399805929798,0.04148683461754767,,,4.554609239344398,0.8270434654136309,0.33784668601753265,5.05280600266339,4.440973872930034
2019-12-16,473.7943489449453,339.69596329656906,15839203.921849102,412.0054982368174,398.9575955512091,606.0391190782233,587.0507288531263,,212.0062239065273,,,672715.1939166265,,,-0.33272237261029436,0.03183330029273313,,,2.5686274071063724,0.8954937082367864,0.8420501994217503,5.588110777799561,5.024607800668989
2019-12-17,285.0474710602066,270.1098979958797,31621339.81890455,285.0928962894677,142.35030443033065,521.2891525363887,586.3922512095957,,213.0174158441779,,,1374416.9744132827,,,-0.053826825723090804,-0.11768405324139995,,,4.961042951281509,0.8690778163080237,0.9418428737276019,5.847930405122163,6.049143263907971
