Date,^FTMC_Open,^FTMC_Adj Close,^FTMC_Volume,^FTMC_High,^FTMC_Low,^FTMC_MA_5,^FTMC_MA_20,^FTMC_MA_250,^FTMC_realVolatility20,^FTMC_realVolatility60,^FTMC_realVolatility250,^FTMC_avgVolume_20,^FTMC_avgVolume_60,^FTMC_avgVolume_250,^FTMC_log1DayRet,^FTMC_logMA5_20,^FTMC_logMA20_250,^FTMC_logMA5_250,^FTMC_log1DayRange,^FTMC_HL_20_realVol_20,^FTMC_HL_5_realVol_20,^FTMC_logD2,^FTMC_logD5
2019-11-18,1329.5139654765971,1202.92805802592,-44583381.05273783,956.6576312975594,1225.9076800301154,,,,,,,,,,-0.10005480288849376,,,,5.59564049703019,,,,
2019-11-19,1202.9291409037596,1497.163054808247,42759501.20865238,1374.9358843659977,1412.3662474903922,,,,,,,,,,0.2188124872877537,,,,3.622482223295795,,,,
2019-11-20,1497.1640886759378,816.0735562346035,-166204.13397282362,1168.047324510373,1266.9816308473146,,,,,,,,,,-0.6068234967407928,,,,4.594456057518884,,,5.958048657973938,
2019-11-21,816.0745461256465,132.57732439386564,-23740695.21244192,571.550081784224,324.21050400128115,,,,,,,,,,-1.8173396507970214,,,,5.510762201281415,,,7.218606167353456,
2019-11-22,132.5782745281158,512.3026851245195,-12582916.067291796,254.8012742824394,600.921343652326,832.2089357174311,,,,,,,,,1.3517424100870714,,,,5.846785736160009,,0.9204542635966029,5.716273703767761,
2019-11-25,512.3035990784902,1052.613213756571,36879242.65490502,916.4892570589363,703.368619459503,802.1459668635613,,,,,,,,,0.720113710031982,,,,5.361858379086632,,0.8902354053983166,6.824412679459062,5.012732056149186
2019-11-26,1052.6140945914412,805.5328461432564,-62079881.16550666,724.2469468561576,1030.243988697173,663.8199251305632,,,,,,,,,-0.2675279839730576,,,,5.72357543471943,,0.4915949373802283,5.680957833135059,6.53905143224358
2019-11-27,805.5336965025417,358.6002550302728,-5365326.836870253,587.3647447506482,546.781707328988,572.3252648896971,,,,,,,,,-0.8092967624142587,,,,3.7033501818099435,,0.8733430563543413,6.542490632848755,6.1257185249893595
2019-11-28,358.6010772153222,744.7175504463285,7213411.949105024,445.4218294613838,613.4631211117758,694.7533101001897,,,,,,,,,0.7307944544617796,,,,5.124209732836696,,0.8591892720732286,4.107841331295329,6.416961383803325
2019-11-29,744.7183464754235,906.0845814035802,-22961266.175545245,830.3693152572432,897.9504549993799,773.5096893560018,,,,,,,,,0.19612657016787682,,,,4.213328946224378,,0.8392586964220348,6.305333833652215,5.975797193282011
2019-12-02,906.0853530586974,695.7668809964052,-31063097.53402221,702.4714706277064,830.001722950492,702.1404228039686,,,,,,,,,-0.2641188471476767,,,,4.848353609573553,,0.786969402233051,3.8908130450816367,5.877305248665842
2019-12-03,695.7676298606057,992.2209991008732,-25733793.249396235,979.387728944188,859.3510503377493,739.478053395492,,,,,,,,,0.35493012437824234,,,,4.7877973511327125,,0.5710468346379839,4.455932291778303,5.229439593567088
2019-12-04,992.221726588501,1203.208620694577,51390921.95839542,1160.3436736413914,1078.6911288034971,908.3997265283527,,,,,,,,,0.19280052096057365,,,,4.402472986571855,,0.3646830696139836,6.229381905701784,6.738873047333935
2019-12-05,1203.2093280758054,1547.4008202034092,63267189.565662265,1430.2589390544726,1263.2356342163512,1068.936380479769,,,,,,,,,0.25158420627972317,,,,5.118133352609441,,0.3628182018988725,6.319292063255677,6.687960202459979
2019-12-06,1547.4015086244654,838.8436859898593,92218929.72928448,1391.984998047521,1210.8663301928282,1055.4882013970248,,,,,,,,,-0.6123079778518274,,,,5.199152439945217,,0.3145281602569337,5.898155933271332,4.208281625134093
2019-12-09,838.8443564896679,626.758887207985,-190251219.7695661,537.0328619173033,734.5412157166338,1041.6866026393407,,,,,,,,,-0.2914632617514657,,,,5.285780881164783,,0.3635981549621152,6.825071179982356,4.234222349893024
2019-12-10,626.7595407321169,579.7237179198,53248470.844510496,484.40874704311136,615.2407244212282,959.1871464031261,,,,,,,,,-0.07801131783441352,,,,4.8739138845117305,,0.3554285603666952,5.557291151638534,6.022229614676828
2019-12-11,579.7243553321277,848.9376815931791,-27169577.181764454,723.5837015472098,834.2448501704293,888.3329585828466,,,,,,,,,0.38143304034280706,,,,4.706472817166858,,0.24011079878156874,5.403482437841231,5.870061985084792
2019-12-12,848.9383036857107,703.5379638753893,98992655.59832875,759.7395182520813,820.1208001394898,719.5603873172425,,,,,,,,,-0.1878646748935405,,,,4.100679154384708,,0.4725078916852639,4.818782425969352,6.737989988890274
2019-12-13,703.5385713766445,1024.615669833709,50050736.20311433,827.609205936611,853.2714390548444,756.7147840860125,854.4804026391175,,348.0538124964766,,,2516185.0666421326,,,0.37595016212008625,-0.12150715690225938,,,3.2450203826118096,0.7276756444476421,0.7933664154948236,5.16865270698357,5.224520028378697
