Date,LE=F_Open,LE=F_Adj Close,LE=F_Volume,LE=F_High,LE=F_Low,LE=F_MA_5,LE=F_MA_20,LE=F_MA_250,LE=F_realVolatility20,LE=F_realVolatility60,LE=F_realVolatility250,LE=F_avgVolume_20,LE=F_avgVolume_60,LE=F_avgVolume_250,LE=F_log1DayRet,LE=F_logMA5_20,LE=F_logMA20_250,LE=F_logMA5_250,LE=F_log1DayRange,LE=F_HL_20_realVol_20,LE=F_HL_5_realVol_20,LE=F_logD2,LE=F_logD5
2019-11-18,1.7441834322874996,1.2554881477694977,-3909.280271171328,0.8391088806907874,3.4487667357982588,,,,,,,,,,-0.3287620396961617,,,,0.95921912274442,,,,
2019-11-19,2.728389342774541,5.227397588554254,-1448.2793302881364,5.458313919897975,2.697966032513428,,,,,,,,,,0.6502021104697293,,,,1.0153567179397311,,,,
2019-11-20,4.135212598512048,5.205963200184954,-3225.9671790736816,4.875988381484277,4.775681460377555,,,,,,,,,,0.23026599626985672,,,,-2.299520582339869,,,1.3738358381158953,
2019-11-21,5.569507766900401,5.306608295588674,-1928.0206410409835,6.507330758551518,6.236533917437271,,,,,,,,,,-0.04835378573127439,,,,-1.3063864030259114,,,-2.535643799470541,
2019-11-22,6.640905542951174,3.904393395416321,-2281.460024952228,4.316611357315125,3.625880283843202,4.17997012550274,,,,,,,,,-0.5311459003976388,,,,-0.3700047155222589,,1.4388646024870344,0.2635710781046091,
2019-11-25,3.761835452048743,3.0478560813485416,-2429.714557096245,2.7961650344431206,4.11200605990301,4.538443712218549,,,,,,,,,-0.2104685711306413,,,,0.27447602428378537,,1.3033251848886653,0.81481254321829,0.5835376135550477
2019-11-26,2.8631501129670767,1.7254053334063997,-1498.3135421322406,2.1325596562142977,1.480921027882978,3.838045261188978,,,,,,,,,-0.5064604580256536,,,,-0.4282651217349451,,0.9973973879258172,0.7788605772920922,1.2533320223100595
2019-11-27,1.699287020158863,0.2041324506488919,-2099.2661755315467,1.8385582215406089,0.881021406996993,2.8376791112817656,,,,,,,,,-2.1191949911172823,,,,-0.04339111005694438,,0.5920569887242458,1.0451143309531292,1.6098039953247936
2019-11-29,-0.0085350779896486,-1.1339133783506412,-1993.7192610000784,-0.7376517597631107,-0.4585060395586495,1.5495747764939025,,,,,,,,,4.889245601604056,,,,-1.2760213388694968,,0.5801471737436316,1.0505833837822527,1.8626095421055926
2019-12-02,-2.5404289488058183,-0.0859023947683468,-1041.9714901680104,-0.8082889263813087,-3.204146835924689,0.751515618456969,,,,,,,,,-3.386876516074883,,,,0.8737413752991148,,0.8031834845866878,-1.2377542066086769,1.383865361032429
