,Open,Adj Close,Volume,High,Low
Mean,239.24655060267486,239.22241285470818,86944.53672394529,240.76394937860243,237.5809904700605
Variance,3463.3267649997965,3434.2849644700354,164811004296.59387,2885.903043061433,3465.343026317194
Skewness,-0.7346624293040458,-0.7336483423827621,0.6842162727789864,-0.7475037590104183,-0.6687888073873326
Kurtosis,0.639613646269042,0.6251313197666635,1.5734671335946082,0.9252525827236675,0.6322422415801441
Shape,5.422114094048108e-06,1.3832556219130354e-05,0.884826845837967,1.2807353241416347e-05,3.4741527224993716e-06
Location,-10853489.101775266,-4194107.85974105,-31887.524553612802,-4194291.6903277766,-16777213.434352454
Scale,10853728.348166322,4194347.359885641,269608.0358629028,4194532.453933142,16777451.29297696
