,Open,Adj Close,High,Low
Mean,0.06310279915884712,0.06310340940637976,0.06330129072649687,0.06291604360135272
Variance,6.466843135415926e-05,6.472189841406846e-05,6.089727360329999e-05,6.077307975645462e-05
Skewness,-0.31821044412181787,-0.3170201144355765,-0.29423273268830247,-0.3411292424928984
Kurtosis,0.37442619123964205,0.3728775891809648,0.40764697247984305,0.4474043605264537
Shape,9.858401472256536e-06,7.856224331972951e-06,1.9051791805833542e-06,8.970248302439508e-06
Location,-815.6554577294023,-1023.9659736277059,-4095.9675539488385,-869.0012086132788
Scale,815.7185604889222,1024.0290770055105,4096.03085523213,869.0641246219149
