Date,WW_Open,WW_Adj Close,WW_Volume,WW_High,WW_Low,WW_MA_5,WW_MA_20,WW_MA_250,WW_realVolatility20,WW_realVolatility60,WW_realVolatility250,WW_avgVolume_20,WW_avgVolume_60,WW_avgVolume_250,WW_log1DayRet,WW_logMA5_20,WW_logMA20_250,WW_logMA5_250,WW_log1DayRange,WW_HL_20_realVol_20,WW_HL_5_realVol_20,WW_logD2,WW_logD5
2019-11-18,1.806984876224432,2.268089908988788,-668007.3948962316,1.8627153837415504,2.052487732102822,,,,,,,,,,0.2272783854652722,,,,-1.6619300917166577,,,,
2019-11-19,2.850253712014828,1.0573774512218694,-52102.57174253487,2.2315880583443786,1.872498345230845,,,,,,,,,,-0.9916162722242691,,,,-1.024183024460793,,,,
2019-11-20,-0.6374447621612127,-0.6675270445460644,104875.82209410402,-0.9326770412525818,-0.2533396803591738,,,,,,,,,,0.04611227993931837,,,,-0.3866374251902427,,,1.0769176368236317,
2019-11-21,0.1626185479627953,-0.4645274185854706,-164955.53276737407,-0.2052025866066031,-0.3396100961311248,,,,,,,,,,,,,,-2.0068789780156004,,,0.41996275407434,
2019-11-22,0.400293826136199,1.4934811976353828,-59457.2092348421,0.7590287877751596,1.1475214615615936,0.737378818942901,,,,,,,,,1.31666620532542,,,,-0.9454809670448199,,0.6367018950451774,0.7705748915764514,
2019-11-25,0.740489115120976,1.1189101065719864,-408706.5865948136,1.094492104955144,0.93915428625653,0.5075428584595407,,,,,,,,,0.41279943713332845,,,,-1.862153058199347,,0.6776052593087399,0.4595981325759667,0.13904847262639966
2019-11-26,0.424544027281847,1.5462234141221174,-247339.20573132575,0.954689165250997,0.9400764367743067,0.6053120510395903,,,,,,,,,1.2925550137857218,,,,-4.225862316604544,,1.468230096236451,-2.9423390722670812,-0.7157078434255106
2019-11-27,2.397908737181208,0.8429909628572005,171117.66574524308,1.531964642096618,1.1398332262175686,0.9074156525202433,,,,,,,,,-1.0453960392462855,,,,-0.9361582507841739,,1.3432397101560554,-1.287647413740558,0.41245264325864345
2019-11-29,0.9956729065412055,1.3556164334974348,192196.28913112544,0.9147705537332538,1.449984044771325,1.2714444229368245,,,,,,,,,0.3085927657737921,,,,-0.6250895630155835,,1.4758611386403455,-1.657541663959019,0.5989155375712308
2019-12-02,1.005026180602945,0.7931491158822599,-356901.8826890413,0.7969139290763803,1.1049098509431428,1.1313780065861998,,,,,,,,,-0.23675762634294067,,,,-1.1776687367885508,,1.4488455554224313,-2.998900347104889,-0.35620065392756256
