Date,GT_Open,GT_Adj Close,GT_Volume,GT_High,GT_Low,GT_MA_5,GT_MA_20,GT_MA_250,GT_realVolatility20,GT_realVolatility60,GT_realVolatility250,GT_avgVolume_20,GT_avgVolume_60,GT_avgVolume_250,GT_log1DayRet,GT_logMA5_20,GT_logMA20_250,GT_logMA5_250,GT_log1DayRange,GT_HL_20_realVol_20,GT_HL_5_realVol_20,GT_logD2,GT_logD5
2019-11-18,0.996469182309041,0.3955187952178995,-1865909.409837373,0.7792031004551268,0.5908552777309275,,,,,,,,,,-0.9240199044895302,,,,-1.6694649046443801,,,,
2019-11-19,0.4391664936482788,0.6305911921619609,-1847137.361419,0.6036038415486384,0.6743259007958669,,,,,,,,,,0.3617791818428279,,,,-2.6489977427617974,,,,
2019-11-20,0.1198928276366873,0.1070898263841098,-407907.4436082053,-0.1175697739805814,0.1372403589871504,,,,,,,,,,-0.11293025950362083,,,,-1.3672365877556687,,,-1.2433064318966724,
2019-11-21,-0.0340281879018133,-0.2251765209157357,3614131.23181617,-0.0719315584456508,-0.1745711215749796,,,,,,,,,,1.889695394944285,,,,-2.2765318150231675,,,-0.15575630289304762,
2019-11-22,0.250883206409684,0.5365179125987236,-250486.28621956703,0.5454830646980833,0.5362079545962217,0.2889082410893916,,,,,,,,,0.7601124316642311,,,,-4.680420799738443,,1.3033845176747012,-0.8453009876312578,
2019-11-25,0.1232306667251021,-0.1561803989074315,-980529.0141370808,-0.0787386508475345,-0.019254873455714,0.1785684022643254,,,,,,,,,,,,,-2.822051652482982,,1.2121999454439123,-2.6737049787425127,-0.5947523194165626
2019-11-26,-0.3053389580659891,-0.0994508446665198,54195.95384961739,-0.2624530038902772,-0.2386294179632342,0.032559994898629284,,,,,,,,,-1.1217589988071524,,,,-3.7370791836883783,,1.2830983140398333,-0.45260584064541526,-0.3146531618010864
2019-11-27,0.2302565892021002,-0.0995734103032139,-1345761.6515461756,0.0344257161699985,-0.0015368141846092,-0.008772652438835455,,,,,,,,,,,,,-3.3252777060420478,,0.9151304579461228,-2.871622827822485,-1.576664686423076
2019-11-29,-0.1400741812696413,0.1807375455838089,1041393.7821352103,0.0570111814870211,0.0605688222218034,0.07241016086107346,,,,,,,,,,,,,-5.638657668759608,,1.1238138042429042,-1.2722930797337484,-0.9016138006514206
2019-12-02,0.3323363461522364,0.4187273132001445,-1546422.0788930184,0.240649860159726,0.3667245110006529,0.04885204098135765,,,,,,,,,0.23107235733282927,,,,-2.0708810804784523,,1.3379854887862044,-0.657199657871266,-2.1388468123192457
2019-12-03,0.3374801366430491,0.6645931295334586,-881570.8579928232,0.5480260816552676,0.3768655082910026,0.21300674666953565,,,,,,,,,0.6776683639306006,,,,-1.7651531375661187,,1.5433089899599637,-0.7259687970590737,-0.1975080560105457
