Date,ADI_Open,ADI_Adj Close,ADI_Volume,ADI_High,ADI_Low,ADI_MA_5,ADI_MA_20,ADI_MA_250,ADI_realVolatility20,ADI_realVolatility60,ADI_realVolatility250,ADI_avgVolume_20,ADI_avgVolume_60,ADI_avgVolume_250,ADI_log1DayRet,ADI_logMA5_20,ADI_logMA20_250,ADI_logMA5_250,ADI_log1DayRange,ADI_HL_20_realVol_20,ADI_HL_5_realVol_20,ADI_logD2,ADI_logD5
2019-11-18,4.227437358252061,6.592825586341476,-567775.919617764,4.313158969554692,6.6772400004632,,,,,,,,,,0.44438604141221955,,,,0.8603893759904636,,,,
2019-11-19,9.66505664878595,9.156131633268082,551717.8915504857,8.501250750376286,9.141531553241393,,,,,,,,,,-0.05409319516377579,,,,-0.44584844437629095,,,,
2019-11-20,6.51557778913849,4.953805347902971,-1064780.062840673,4.907679981542842,5.720503134201564,,,,,,,,,,-0.2740398542308946,,,,-0.2072417175012062,,,0.4940986477260327,
2019-11-21,7.271619644628089,6.891365310236246,268566.0190021309,6.758911654462722,6.937679665329469,,,,,,,,,,-0.0537098277838277,,,,-1.721666342390286,,,0.8174715849733811,
2019-11-22,9.138655796825688,7.14330369162127,-659416.6829764664,8.604326885672691,8.71883096007626,6.947486313874009,,,,,,,,,-0.24633793522376116,,,,-2.167144872310297,,1.217779291697504,0.7836724507933065,
2019-11-25,5.880840862675612,4.709112776208997,-743386.2926580304,5.547248879977303,5.989418737272601,6.570743751847513,,,,,,,,,-0.22220023549006496,,,,-0.8160611782026007,,0.8406522996770126,0.780357615831983,0.6332447282991732
2019-11-26,2.219825248461873,1.1977828809292743,2086250.5057622148,2.0413945401098914,2.3157940179361844,4.979074001379752,,,,,,,,,-0.616956227225136,,,,-1.293170286097622,,0.7649730989868472,1.7826381311319062,2.074221535163464
2019-11-27,6.097459555145207,8.607298853254733,68030.62060975842,7.666515453108516,7.431210986044221,5.709772702450104,,,,,,,,,0.344738329117385,,,,-1.4468749988803846,,0.5017430975646607,1.3605113364893044,1.2956838345964705
2019-11-29,7.755890218640403,6.198689864050394,-343898.028125254,7.518754158821764,8.100495986163665,5.571237613212934,,,,,,,,,-0.22411462543020724,,,,-0.5417285253008207,,0.6268342403061133,1.609619292607946,-0.36719372111588733
2019-12-02,6.168169039555593,9.762468226485993,254415.24324256557,9.151512354871642,7.436223681749311,6.095070520185878,,,,,,,,,0.4591432187314649,,,,0.5395813889735666,,0.7880476877336562,0.1442469767129197,0.962855387097399
