Date,NOK_Open,NOK_Adj Close,NOK_Volume,NOK_High,NOK_Low,NOK_MA_5,NOK_MA_20,NOK_MA_250,NOK_realVolatility20,NOK_realVolatility60,NOK_realVolatility250,NOK_avgVolume_20,NOK_avgVolume_60,NOK_avgVolume_250,NOK_log1DayRet,NOK_logMA5_20,NOK_logMA20_250,NOK_logMA5_250,NOK_log1DayRange,NOK_HL_20_realVol_20,NOK_HL_5_realVol_20,NOK_logD2,NOK_logD5
2019-11-18,0.2031547617244724,0.1836362863698553,-10463072.310628396,0.1495958078833315,0.1829593351762621,,,,,,,,,,-0.10101096477146704,,,,-3.4002919728805,,,,
2019-11-19,0.286222828974537,0.295411797090054,10130586.752211465,0.3315979684032917,0.3386713137416661,,,,,,,,,,0.03159967553491524,,,,-4.951421737240441,,,,
2019-11-20,0.1356207084869871,0.1020787805197853,-306428.45501627773,0.0829753795632521,0.080415801199861,,,,,,,,,,-0.28411720809542446,,,,-5.9679127358558475,,,-2.5064469142968124,
2019-11-21,0.1404086793990835,0.3682670308354336,60135857.736606814,0.5674836410440567,0.1186271459414087,,,,,,,,,,0.9642509935361687,,,,-0.8010520523424237,,,-2.619280906157186,
2019-11-22,0.4594012581249771,0.2854604361345445,-18591730.02013431,0.2480270541726277,0.4443345115943065,0.24697086618993452,,,,,,,,,-0.475820586846537,,,,-1.6280731884993704,,2.172712315745805,-1.6961857480732978,
2019-11-25,0.2437309545441213,0.2130096492271835,-19710107.436819986,0.2192962367872857,0.2815941692039896,0.2528455387614002,,,,,,,,,-0.13472750540222342,,,,-2.77582704127229,,2.1869817918016623,-1.8626710127078692,-3.5276670405874153
2019-11-26,0.2329326901916251,0.1410006106027128,-2432205.2340560723,0.1598561006649301,0.1774371866455339,0.22196330146393195,,,,,,,,,-0.5019853076486513,,,,-4.040931614992303,,2.0402641742394,-1.9347538340866524,-1.8681361926730495
2019-11-27,0.1887389682476761,0.1929880735489235,-6756085.7862248365,0.171977487322235,0.2130494151526525,0.24014516006975958,,,,,,,,,0.022263451861042144,,,,-3.1924304120028926,,1.2821788236062983,-3.910944802984363,-2.397893049480322
2019-11-29,0.1730831563492048,0.1981739282710224,1404846.247172108,0.2071170328003888,0.2187646241012473,0.20612653955687735,,,,,,,,,0.1353729191652778,,,,-4.452655875638364,,1.1096879705631932,-2.8616679637596336,-1.77140932970046
2019-12-02,0.218534531301509,0.1923223745326128,-7194188.328087777,0.1607462963699526,0.1609431913756882,0.187498927236491,,,,,,,,,-0.1277710419921183,,,,-8.532839937112279,,2.297300110964723,-7.314672917035297,-2.3736723533050714
2019-12-03,0.2161760119929772,0.2562334425350077,-7717267.087696478,0.2294604952130274,0.2722312649881497,0.1961436858980558,,,,,,,,,0.16999596767204017,,,,-3.1519003588897965,,2.22779319665847,-2.846286686524933,-3.1413641643363097
2019-12-04,0.2779403454203915,0.1742426831991785,8977246.805653065,0.2385466553564903,0.2207603757949217,0.20279210041734896,,,,,,,,,-0.4669574473348839,,,,-4.029327930059589,,2.228623633323631,-4.0129659964296405,-3.4039389584578075
2019-12-05,0.2496766097394736,0.2828342000206478,-869580.3058780693,0.2789952608079598,0.2454640061454345,0.22076132571169382,,,,,,,,,0.12469434085762568,,,,-3.3952773001010272,,2.1965761489446125,-3.6268155866961793,-2.4096567777366986
