Date,FTCH_Open,FTCH_Adj Close,FTCH_Volume,FTCH_High,FTCH_Low,FTCH_MA_5,FTCH_MA_20,FTCH_MA_250,FTCH_realVolatility20,FTCH_realVolatility60,FTCH_realVolatility250,FTCH_avgVolume_20,FTCH_avgVolume_60,FTCH_avgVolume_250,FTCH_log1DayRet,FTCH_logMA5_20,FTCH_logMA20_250,FTCH_logMA5_250,FTCH_log1DayRange,FTCH_HL_20_realVol_20,FTCH_HL_5_realVol_20,FTCH_logD2,FTCH_logD5
2019-11-18,1.058319037035555,1.6173204464520683,358397.9024767945,1.3642740881212747,1.1585110409038473,,,,,,,,,,0.42408889912850706,,,,-1.5810300284710646,,,,
2019-11-19,1.9430981236509943,1.8416586037787948,-859789.3042656318,1.9409258182013804,2.086381903892267,,,,,,,,,,-0.05361708953975335,,,,-1.9278810544838538,,,,
2019-11-20,1.340396930528029,1.8956684815257736,2212123.7802352905,1.777833925104611,1.132912260015163,,,,,,,,,,0.34660575011733546,,,,-0.4386264190356734,,,-1.2788830235702604,
2019-11-21,2.132637670087604,1.4394715900863098,763101.2691732324,1.6570397207490313,1.9285990527669783,,,,,,,,,,-0.3930834614556318,,,,-1.3035746293471682,,,-0.9108380903486367,
2019-11-22,1.9254852324358387,1.5704205364589503,-227023.59361146484,1.5085195588769844,1.8241157141928424,1.6729079316603794,,,,,,,,,-0.2038345636636484,,,,-1.1532918722270227,,0.5556269601288809,-1.1231674796207853,
2019-11-25,0.9152607590932718,1.0531173313125457,-561262.778646091,1.4154246564287796,1.1669009319196508,1.5600673086324748,,,,,,,,,0.1403009243832081,,,,-1.3922169671408213,,0.5362045747411918,-0.9510005615656818,-0.5723409590903795
2019-11-26,0.9315539167381548,1.1285002419644965,-947776.2643792288,0.7640568897772582,1.041438771225323,1.4174356362696152,,,,,,,,,0.1917907406736966,,,,-1.282360088850768,,0.38709225790608665,-0.8166257423637721,-0.33805177689838656
2019-11-27,1.7796288234981503,1.84289198213306,503567.5705810823,1.7603926443990314,1.731566098292037,1.4068803363910725,,,,,,,,,0.03493125073229472,,,,-3.5464585765553336,,1.0159079416020897,-0.23600762633912728,-2.9416892746098693
2019-11-29,1.7539218820417606,1.077388372050315,-248976.31411952156,1.3872161903666935,1.3696939727721738,1.3344636927838736,,,,,,,,,-0.4873144173200576,,,,-4.044285626454167,,1.3936881931634393,-2.9737385207983897,-1.015881209498328
2019-12-02,1.116531163543666,1.3274889944709545,-593888.7672714281,1.117165787874173,1.3478804968675346,1.2858773843862743,,,,,,,,,0.173062479956696,,,,-1.4665733577362268,,1.336010600501966,-0.6628061839973877,-1.4149755955461916
