Date,KO_Open,KO_Adj Close,KO_Volume,KO_High,KO_Low,KO_MA_5,KO_MA_20,KO_MA_250,KO_realVolatility20,KO_realVolatility60,KO_realVolatility250,KO_avgVolume_20,KO_avgVolume_60,KO_avgVolume_250,KO_log1DayRet,KO_logMA5_20,KO_logMA20_250,KO_logMA5_250,KO_log1DayRange,KO_HL_20_realVol_20,KO_HL_5_realVol_20,KO_logD2,KO_logD5
2019-11-18,3.271773720381937,1.344925865949726,272814.14829459414,2.43748053661146,1.855297151532952,,,,,,,,,,-0.8889933667048564,,,,-0.5409697862459768,,,,
2019-11-19,2.649565479478745,3.7893219316090097,2460163.3479089662,3.3182470380347766,2.868405829097465,,,,,,,,,,0.3577914366768005,,,,-0.7988606275188934,,,,
2019-11-20,2.497366260441112,1.8274197934013507,-7473896.075021246,2.150587937622213,3.179240635963531,,,,,,,,,,-0.31233165775483657,,,,0.02824988612167201,,,-0.7287869438747834,
2019-11-21,2.270428032717291,1.758386427473777,1497111.455460947,1.921723757352197,2.2314520524283523,,,,,,,,,,-0.25557178842857053,,,,-1.1720598333214347,,,0.7084965263752809,
2019-11-22,3.3216234485649423,2.8821262243535486,2422299.330276292,2.690707525443827,3.067785273199746,2.3204360485574824,,,,,,,,,-0.14192535983923088,,,,-0.9753038853268058,,0.46467933290746,0.05326246370499375,
2019-11-25,2.388349502719656,1.1552515018147211,357697.9047407992,2.2447886127819814,1.7258043897042723,2.2825011757304816,,,,,,,,,-0.7262844719853876,,,,-0.6558817949725002,,0.4581510402026133,-0.505614349973018,-1.6624465501558416
2019-11-26,0.628783237117517,0.7321709414395947,8472220.738461368,1.275111584720186,0.1303325181218895,1.6710709776965984,,,,,,,,,0.1522274310235228,,,,0.13521166345201863,,0.5874757921026914,0.765447043278604,1.1174834333047436
2019-11-27,1.76403863651025,1.6425243876494235,-6501758.90322414,1.1062124390143495,2.4862176207316797,1.634091896546213,,,,,,,,,-0.071371540977954,,,,0.3220872540296944,,0.6664180664849156,-0.7189309723086743,-1.6879649881020424
2019-11-29,1.815995191281786,1.1549631656468442,-82058.28226369806,1.584969762891884,1.6310873733296276,1.5134072441808264,,,,,,,,,-0.4525651799526431,,,,-3.076560396767799,,1.356040620199695,-0.8608744163395418,-0.5051364017458106
2019-12-02,1.5106658300983646,1.8143665892263776,-2591246.0681929253,1.4334850155427432,2.040700084970137,1.2998553171553922,,,,,,,,,0.1831859194314216,,,,-0.4988722353111236,,1.3617692619298625,-1.7611786559597569,0.06556265446568436
