Date,EW_Open,EW_Adj Close,EW_Volume,EW_High,EW_Low,EW_MA_5,EW_MA_20,EW_MA_250,EW_realVolatility20,EW_realVolatility60,EW_realVolatility250,EW_avgVolume_20,EW_avgVolume_60,EW_avgVolume_250,EW_log1DayRet,EW_logMA5_20,EW_logMA20_250,EW_logMA5_250,EW_log1DayRange,EW_HL_20_realVol_20,EW_HL_5_realVol_20,EW_logD2,EW_logD5
2019-11-18,7.040942840270745,3.727833588436901,-1808948.7711121629,4.777971383887504,4.4531972142553045,,,,,,,,,,-0.6359148298452595,,,,-1.124625200851513,,,,
2019-11-19,4.823839231556882,7.438835135119966,-396727.5472594183,5.953731771365355,6.93988448876258,,,,,,,,,,0.4331441366489106,,,,-0.013944050574665991,,,,
2019-11-20,5.706536115856167,5.418253619975715,-821533.95163987,5.118895976050688,6.411794690323156,,,,,,,,,,-0.05183865169537578,,,,0.25688676282545814,,,0.5249770374262684,
2019-11-21,6.716452354035205,6.183168809611559,874838.6849279762,6.053173164932431,6.827398150061519,,,,,,,,,,-0.08272919920635835,,,,-0.25589276916985493,,,0.22766636834683304,
2019-11-22,7.935046182926989,9.144688357668286,1842387.8159775804,8.410202111412886,8.087851556659409,6.382555902162485,,,,,,,,,0.14188402925307408,,,,-1.132115646260719,,0.6418400645224909,1.3154519421559523,
2019-11-25,7.312824155677653,5.798375497600226,-2035604.56644096,6.293572563526354,7.27940834505543,6.796664283995151,,,,,,,,,-0.23205174885689417,,,,-0.014265488423872923,,0.5349640018445296,-0.9550489407695548,0.7278103648821072
2019-11-26,4.686992819201514,2.9512482524258914,-217457.6457574116,3.880006110466155,3.740097002512045,5.899146907456336,,,,,,,,,-0.4625629696019807,,,,-1.9667622961123867,,0.9143878231480952,1.8234906843820675,1.501315114673008
2019-11-27,4.668893141004325,4.356428422397016,188526.49079743447,4.072875378050988,3.7959373283298063,5.686781867940596,,,,,,,,,-0.06926947633059678,,,,-1.2839614450235186,,0.795927753448878,0.36599433583359897,0.05998931188858851
2019-11-29,4.6923277361390845,5.978999179399132,151741.6731898659,5.682500119162654,5.891235463512459,5.64594794189811,,,,,,,,,0.24232441431273208,,,,-1.5666881244233015,,0.7313936272011918,1.1078200755780845,-1.588804110010536
2019-12-02,10.259502950296792,6.069945894996664,1507232.8421959504,9.06863160856301,6.344838137674664,5.030999449363786,,,,,,,,,-0.5248547016568607,,,,1.0020255670899842,,1.229047881534364,0.5385482593039674,1.1232211457743804
2019-12-03,3.573534287012308,4.272537118075476,-1109188.178717629,3.520278211315528,4.867832837964933,4.725831773458836,,,,,,,,,0.17865272121080564,,,,0.29829156223676506,,1.2835755351168465,0.5344222572532421,0.4225440160637311
2019-12-04,3.033764621647165,2.4223341214879213,154083.8512883326,2.905523568796447,3.2005567170379905,4.620048947271242,,,,,,,,,-0.22507270937192683,,,,-1.22066756203452,,1.134729357527015,1.2940726448133482,-0.636929183668378
2019-12-05,3.023820163590159,5.500870554739102,-814334.6522380845,4.319149064360651,4.256763654232358,4.848937373739659,,,,,,,,,0.5983853755562362,,,,-2.7744238429916392,,1.5085580343861924,0.20565832109554114,0.1349172976137153
2019-12-06,4.646578679879582,4.304835684489817,-725344.3915443877,4.507320053298109,5.404922825092548,4.514104674757796,,,,,,,,,-0.07639221239756447,,,,-0.10802765621219071,,1.4765686820605965,0.6326015109714582,0.5153136345080179
2019-12-09,3.474144124672634,1.698481285727496,-648366.2086236286,2.292752163745078,1.8718604010657671,3.639811752903962,,,,,,,,,-0.7156136631825689,,,,-0.8653795741281479,,1.1910940112254116,1.335629624151784,1.475098103819504
2019-12-10,2.039892391046294,2.263991273885693,-26425.139603075106,1.5378419102503926,2.1679006506019007,3.238102584066006,,,,,,,,,0.10423224906502597,,,,-0.46194222528982426,,1.0324075952206655,0.7133636489788009,0.697410999644978
2019-12-11,3.159960751907434,5.539154703782977,-669370.3676522514,5.16582295347812,4.278705656077626,3.8614667005250167,,,,,,,,,0.5612823013337771,,,,-0.11977806482877104,,1.1109358492903527,1.3456477205095214,1.1368134381067028
2019-12-12,5.180938771289554,4.233205458384987,-200996.1712633469,4.705057475357847,5.490487309027685,3.607933681254194,,,,,,,,,-0.20202677217040832,,,,-0.24152415224027596,,0.31663530111848065,0.6776345720545629,0.2371767015347647
2019-12-13,5.122509965544303,5.646598954876659,1703442.4128306587,4.73524667008337,5.690002481225108,3.8762863353315624,,,,,,,,,0.09740886244720681,,,,-0.046299666336523625,,0.32981235188054686,-2.2307831604084214,0.2939846223831433
2019-12-16,6.00451243163139,4.828595353502834,-1854274.576971935,5.517157330197755,5.414884703275519,4.50230914888663,4.888919063329216,,1.7924490055781614,,,-245315.9198808181,,,-0.21795565021339813,-0.08238081924776519,,,-2.2801132183472803,0.9594548050881765,0.93582356943782,-0.5185388021302252,1.1410694472667202
2019-12-17,3.810657756159536,7.069544912005661,1829077.631816071,6.1670661505729285,4.862776973731293,5.463419876510623,5.056004629507655,,1.8337946449596518,,,-63414.59973440643,,,0.6179942953048212,0.07749837219973298,,,0.2656582003006629,0.9769670908357391,1.0211565748119786,0.35272934026214453,1.569772257037652
2019-12-18,7.1067855422011945,3.250593488167226,-1112230.6458944548,5.40037679134111,4.916753736193435,5.005707633387473,4.846592547160017,,1.7858775369682411,,,-99189.75466615825,,,-0.7822124464023429,0.032302897628179304,,,-0.7264494873752331,0.9663901312997712,1.0028781018494524,0.45615940451145537,0.8279233299850707
2019-12-19,2.9313594323973504,3.035320851065215,524155.4223438343,3.3879927799088563,2.922962608235416,4.766130711923519,4.7274459087144916,,1.824797080423944,,,-31905.28596697303,,,0.03485085038438638,0.008149724570330108,,,-0.7656529901805154,0.9419535517619171,0.9824750357418587,1.3948139811081615,0.18055717395205526
2019-12-20,2.5670962657001866,4.832746534139481,-906969.4723156448,3.0720534077551136,2.858419643170251,4.603360227776084,4.6599247949408875,,1.7928011066362255,,,-120995.69382915409,,,0.6326395442257498,-0.012212788462224787,,,-1.5434921104892896,0.9529902211097399,0.9572371202181921,0.45878660674732036,-0.20597623072234417
2019-12-23,4.264495034065163,2.952206130052353,138822.06751531968,3.315872599455915,3.756540552453302,4.2280823830859875,4.350300683560091,,1.485977214691074,,,-206173.98125226708,,,-0.367771044740109,-0.02849641243139003,,,-0.8194636281867776,0.9494260600109576,0.6445265077282506,-2.487533444640401,0.6293493042508563
2019-12-24,4.593011308344359,4.79631508734812,-50017.69649647828,5.078729718238705,5.987602982077092,3.7734364181544793,4.300197663047486,,1.4510656573537708,,,-106894.63775504303,,,0.04331206553006269,-0.1306748867609397,,,-0.09554961824519448,0.9462255959651207,0.5136903662042923,-3.312322954466381,0.8212016504750944
2019-12-26,4.165960285436206,3.9686329768844857,-826997.4971728886,3.9377700453589313,4.508029535466619,3.917044315897931,4.351066899270416,,1.4187606960764445,,,-137371.6303258169,,,-0.048525112687949117,-0.10508371087417386,,,-0.5616637759435117,0.9035820804935955,0.5239797543136049,0.016293385763338046,-0.3312307132328056
2019-12-27,4.678965873816907,6.025674858697279,1438444.0757064382,5.159749132862672,4.653992279043024,4.515115117424344,4.434529221085429,,1.4673592504991935,,,-74875.7510803667,,,0.2529523644668011,0.018009223904037964,,,-0.6816992512324386,0.8929202773208834,0.5249839098279139,0.20649352277315394,1.0953917775955588
2019-12-30,5.266422581867353,4.270067250602999,-613550.8768265671,4.234323650722409,5.111435543096242,4.402579260717047,4.3490826246456225,,1.4217364864511735,,,-113140.37858118834,,,-0.2097217284035315,0.012225632822270653,,,-0.13112070937332387,0.8741796743620499,0.3277437212275579,-1.199203284196703,-0.5750454693989148
2019-12-31,4.450534406725389,4.553756367450674,-711419.9596982589,3.854942966370373,4.037883047369505,4.722889308196711,4.273273148268322,,1.3644149992386858,,,-224073.0186758988,,,0.022928287260215088,0.10004067502567139,,,-1.698596605990642,0.8216964697005766,0.6487853459575972,0.3865666459791286,0.4709720585406255
