Date,EH_Open,EH_Adj Close,EH_Volume,EH_High,EH_Low,EH_MA_5,EH_MA_20,EH_MA_250,EH_realVolatility20,EH_realVolatility60,EH_realVolatility250,EH_avgVolume_20,EH_avgVolume_60,EH_avgVolume_250,EH_log1DayRet,EH_logMA5_20,EH_logMA20_250,EH_logMA5_250,EH_log1DayRange,EH_HL_20_realVol_20,EH_HL_5_realVol_20,EH_logD2,EH_logD5
2019-12-13,0.4104768587921619,0.7547947332170413,-18798.055367624205,0.4946788223885576,0.797467973696099,,,,,,,,,,0.609126281669231,,,,-1.1947185859750067,,,,
2019-12-16,0.6375015148645478,0.6882640838441887,-11919.440523330351,0.6008130709407951,0.8305939285721919,,,,,,,,,,0.07661595379345702,,,,-1.4706292171615993,,,,
2019-12-17,0.8227517857007403,0.7288776004165367,-10049.773588695472,0.617733357893691,0.7592364657622719,,,,,,,,,,-0.12114874097754924,,,,-1.95543359840449,,,-3.6528510308810884,
2019-12-18,0.6824234260828153,0.5414551730882042,-7301.43707625664,0.5814469506367708,0.7373473160143984,,,,,,,,,,-0.23139004438190533,,,,-1.8585381592545225,,,-1.9186234646712446,
2019-12-19,0.5966490087794725,0.5043818122892567,-1449.0094064163604,0.4663538435842795,0.235375580495079,0.6435546805710455,,,,,,,,,-0.1679954701738878,,,,-1.4654316720688993,,0.31291492306215357,-1.4938983331015219,
2019-12-20,0.2473619256040304,0.3760711192821659,-13094.918679056136,0.460758438059619,0.4723486726152544,0.5678099577840705,,,,,,,,,0.41892572254040383,,,,-4.457592384075521,,1.2585788635075286,-1.7994849109191264,-0.9709485907639059
2019-12-23,1.009870757772125,0.3780530111971636,-11538.303312478329,0.7793609264761034,0.5880562718260647,0.5057677432546654,,,,,,,,,-0.9825432119964979,,,,-1.653888071153745,,1.2329236706944076,-2.06886723847183,-1.1705023336896996
2019-12-24,1.091144303115879,1.055065772227076,8385.690596155206,1.2701455830685102,0.7245753950651661,0.5710053776167733,,,,,,,,,-0.03362385661046921,,,,-0.6059238147020793,,1.4498650446105064,-0.3871420263514878,-1.1202808499966772
2019-12-26,1.1012146279263515,0.8605160201605884,-12193.56407065758,0.8790263623132777,0.6829940312574809,0.6348175470312502,,,,,,,,,-0.24663682405585663,,,,-1.6294756789887854,,1.459367019304534,-0.7288510265028131,-1.1423734512128407
2019-12-27,0.1776550479910241,0.3040613901993509,-4053.355967710114,0.5251677414669658,0.6575757805625821,0.594753462613269,,,,,,,,,0.537385885027639,,,,-2.0218669190776706,,1.432966659421078,-0.28634379231129037,-1.6078370839944194
