Date,C_Open,C_Adj Close,C_Volume,C_High,C_Low,C_MA_5,C_MA_20,C_MA_250,C_realVolatility20,C_realVolatility60,C_realVolatility250,C_avgVolume_20,C_avgVolume_60,C_avgVolume_250,C_log1DayRet,C_logMA5_20,C_logMA20_250,C_logMA5_250,C_log1DayRange,C_HL_20_realVol_20,C_HL_5_realVol_20,C_logD2,C_logD5
2019-11-18,3.450616222323614,2.1169393188230536,-7372081.486833904,1.7973356229033186,2.2221887278337284,,,,,,,,,,-0.48858150227642433,,,,-0.8560118052612815,,,,
2019-11-19,2.840650337437694,0.8796260377528853,11561474.886279136,2.18498451371309,0.4198032719589335,,,,,,,,,,-1.1722914369426976,,,,0.5682533716596219,,,,
2019-11-20,-1.82668572189079,-0.9341530680772614,-1702040.9692423418,-1.452008001221877,0.2133824375032986,,,,,,,,,,-0.6706182136592977,,,,0.5100595936749496,,,1.1154996861349147,
2019-11-21,-0.5226774338964439,-1.8042950292096973,6848895.249516975,-1.2296104445605778,-1.7196246866183529,,,,,,,,,,1.2389607163443734,,,,-0.7133208228758252,,,0.9872788099447184,
2019-11-22,0.6768951446100999,3.746517562199241,8104471.894955713,2.6513473506450893,2.246724375710276,0.8009269642976442,,,,,,,,,1.7110656589124063,,,,-0.9047995715432773,,0.7506090007900681,1.54344139673114,
2019-11-25,0.9909487037036796,0.7764000127171755,-1924512.4865939652,1.450505862622041,1.6130496786057265,0.5328191030764685,,,,,,,,,-0.24399490316003483,,,,-1.8168076767351404,,1.0124999663412058,0.9480587587486009,0.29307200023779567
2019-11-26,-0.0720957838441656,-1.0162748480729036,3138424.560442653,-0.924418861481488,-0.426799749845518,0.15363892591131076,,,,,,,,,2.6459035452328217,,,,-0.6979203306661643,,0.8292485789299109,1.5608341370503498,0.639694127058084
2019-11-27,1.161655233473109,0.6559219819258537,-10656532.918324936,0.247098382498077,1.2222535115879438,0.4716539359119338,,,,,,,,,-0.5715593405373496,,,,-0.025158713881590064,,0.6438555950779135,-2.1162878597576738,0.46378121637801656
2019-11-29,0.6765263907424242,0.8468011401967033,-1860375.5227065608,1.1698990197655623,1.4681864140691374,1.001873169793214,,,,,,,,,0.22449442818110796,,,,-1.2096978468069959,,0.6591450304116889,0.6222288789087373,0.9749732033016417
2019-12-02,1.2398522176067068,1.3890037608551609,1080293.646118373,0.6286688072399116,0.7623491939956928,0.530370409524398,,,,,,,,,0.11359457820255645,,,,-2.012303501553005,,0.8156867230435995,-0.3104980158844163,0.8576075897370056
2019-12-03,2.3286824649619007,4.14614788902913,5135936.24780976,4.349417973276783,3.017894394633963,1.204319984786789,,,,,,,,,0.5768770417090481,,,,0.2863238344461292,,0.9226512666126965,1.193724493977513,1.214837927414797
