Date,FLEX_Open,FLEX_Adj Close,FLEX_Volume,FLEX_High,FLEX_Low,FLEX_MA_5,FLEX_MA_20,FLEX_MA_250,FLEX_realVolatility20,FLEX_realVolatility60,FLEX_realVolatility250,FLEX_avgVolume_20,FLEX_avgVolume_60,FLEX_avgVolume_250,FLEX_log1DayRet,FLEX_logMA5_20,FLEX_logMA20_250,FLEX_logMA5_250,FLEX_log1DayRange,FLEX_HL_20_realVol_20,FLEX_HL_5_realVol_20,FLEX_logD2,FLEX_logD5
2019-11-18,0.2082595545257444,0.2712500908265634,-2492263.198023909,0.3012696343740364,0.2481922319408962,,,,,,,,,,0.26425607962898956,,,,-2.9360040075441325,,,,
2019-11-19,0.4399882323261668,0.2092869471629912,2722907.8620736278,0.3032830473707451,0.366668629536977,,,,,,,,,,-0.7430417185817135,,,,-2.7585188540279315,,,,
2019-11-20,-0.2918497015268784,-0.2152481807223116,-1320021.6988593657,-0.2422423687894923,-0.2667704772746671,,,,,,,,,,-0.3044472576124396,,,,-3.707935533950898,,,-0.7205219301910114,
2019-11-21,-0.0787512007290169,-0.0152083337907349,6623538.808259555,-0.3054350810487181,-0.2123326534232532,,,,,,,,,,-1.6444499716318333,,,,-2.374055019577583,,,-1.49390059227142,
2019-11-22,0.3502324802258352,0.312786567693065,-2837029.054180216,0.3495184209270165,0.4360814251054705,0.1125734182339146,,,,,,,,,-0.11307609760614803,,,,-2.4468827581732078,,0.5340188320943527,-0.6385931860485914,
2019-11-25,-0.0816610598303979,-0.1199807531346159,-892477.4622275555,-0.1379010158523534,-0.0018657429733757,0.03432724944167876,,,,,,,,,0.384754074991479,,,,-1.994841067469673,,0.6475784918511696,-2.255964715931211,-0.9384574994479955
2019-11-26,-0.2969901230472445,-0.2327267487612907,4588116.252344542,-0.296654568403067,-0.2103053691357423,-0.05407548974317762,,,,,,,,,-0.24383386926015768,,,,-2.449355747538123,,0.650150588733054,-0.6060280625416031,-0.8164144111304715
2019-11-27,0.1684968581280461,0.2012418445527393,-4226731.465510088,0.0955798122554965,0.1369823930907978,0.029222515311832557,,,,,,,,,0.1775902880217912,,,,-3.1844120610769244,,0.4313770764120458,-1.1356209454385646,-0.8758927665814652
2019-11-29,0.2566701733448555,0.3651077514139969,-833353.6621440141,0.3134553388908454,0.471951731694606,0.10528573235277891,,,,,,,,,0.35240063090135604,,,,-1.842023444259672,,0.5229883147123092,-0.5144413188951124,-0.966752568847895
2019-12-02,0.3744941864821172,0.4423462683148589,-108538.90349814435,0.3198830656466356,0.3922217370117966,0.1311976724771377,,,,,,,,,0.16651670842282748,,,,-2.626396419157665,,0.5344628827366057,-1.4225251457173014,-2.043613495411889
2019-12-03,0.4473242168664448,1.0557571300354835,455698.6124842874,0.9803284667356778,0.5624680139659866,0.36634524911115757,,,,,,,,,0.8587297982449928,,,,-0.8726077472446304,,0.8807737584151922,-0.37012299553759853,0.16189593617231088
