Date,TAP_Open,TAP_Adj Close,TAP_Volume,TAP_High,TAP_Low,TAP_MA_5,TAP_MA_20,TAP_MA_250,TAP_realVolatility20,TAP_realVolatility60,TAP_realVolatility250,TAP_avgVolume_20,TAP_avgVolume_60,TAP_avgVolume_250,TAP_log1DayRet,TAP_logMA5_20,TAP_logMA20_250,TAP_logMA5_250,TAP_log1DayRange,TAP_HL_20_realVol_20,TAP_HL_5_realVol_20,TAP_logD2,TAP_logD5
2019-11-18,5.128258960036803,1.7498689306954027,-310692.60106529365,3.5005977572610334,2.383239262564693,,,,,,,,,,-1.0752253291854341,,,,0.11096741281781156,,,,
2019-11-19,2.4958565358452063,3.892002033656979,-4883.564217324369,3.203943408461363,4.141517797942655,,,,,,,,,,0.44429171561681047,,,,-0.06445917550547405,,,,
2019-11-20,2.758943204699144,1.3791803853453963,-258261.74241840024,1.635706654819927,1.4478447854865948,,,,,,,,,,-0.6933583104933739,,,,-1.6720483237927943,,,-0.9923930693568017,
2019-11-21,2.1199420722263547,0.7662792089976378,986124.8075099672,1.364056265781926,1.1715584988252843,,,,,,,,,,-1.0175974369376721,,,,-1.6476707255468193,,,1.1396655603327335,
2019-11-22,1.7516786694638888,2.670720070419616,107040.64228303592,1.888143463908708,2.9036784415566856,2.0916101258230064,,,,,,,,,0.42177355749559453,,,,0.015415545214678916,,0.922581271200206,0.25583506097498376,
2019-11-25,1.4987640286581936,1.478042885821143,-533503.2426536538,1.9003700719099008,2.222635212778737,2.0372449168481546,,,,,,,,,-0.013921949332577576,,,,-1.1323806534137268,,0.8284299494476812,-0.3400093372397239,-1.3025929581831153
2019-11-26,0.9212645214464316,0.5507611989360832,10246.343862942653,0.2527811518179028,0.8112907071576458,1.3689967499039752,,,,,,,,,-0.5144458866938768,,,,-0.5824835516850516,,0.7235271573173788,0.7513966882521174,1.206342245398287
2019-11-27,1.9252972358192508,1.2846324885486275,-386373.5024143427,1.342046004461082,1.682769238408106,1.3500871705446216,,,,,,,,,-0.40460768772623057,,,,-1.0766847619029953,,0.6288622545494243,-1.6429409369503043,-2.3586487284744315
2019-11-29,1.2238768155625197,1.2749792229471666,-137995.08996831812,1.906133550803606,1.758559999162344,1.4518271733345274,,,,,,,,,0.040906344604693376,,,,-1.913428572294452,,0.7148201364265825,-0.3226627937925532,-0.6758967997315019
2019-12-02,1.4782259760105525,2.569374458784452,-249768.55943785145,1.809732530590296,1.9396485256060425,1.4315580510074946,,,,,,,,,0.5528197640840782,,,,-2.040867229585277,,0.613572882716903,0.25055789681098894,-2.2892187061319307
