Date,NKE_Open,NKE_Adj Close,NKE_Volume,NKE_High,NKE_Low,NKE_MA_5,NKE_MA_20,NKE_MA_250,NKE_realVolatility20,NKE_realVolatility60,NKE_realVolatility250,NKE_avgVolume_20,NKE_avgVolume_60,NKE_avgVolume_250,NKE_log1DayRet,NKE_logMA5_20,NKE_logMA20_250,NKE_logMA5_250,NKE_log1DayRange,NKE_HL_20_realVol_20,NKE_HL_5_realVol_20,NKE_logD2,NKE_logD5
2019-11-18,5.094175877756342,3.612746288715776,-3347958.6555909677,4.194844584387482,5.092402870202065,,,,,,,,,,-0.34362967449342247,,,,-0.10807721831657889,,,,
2019-11-19,5.381226908285321,7.295335060994276,-532619.8623432755,6.443372686840149,6.58613922078122,,,,,,,,,,0.30431871310395137,,,,-1.946544612697314,,,,
2019-11-20,4.155345928280404,3.590307206409385,920218.1734366566,3.7050498520516086,4.060525287686353,,,,,,,,,,-0.14615790909063117,,,,-1.0342991302000786,,,-3.796951094600988,
2019-11-21,5.165891478504513,5.6187161313458205,1509166.4041357292,5.07442581449348,5.534295143864618,,,,,,,,,,0.08402550384598305,,,,-0.7768128964380341,,,0.5167792236555897,
2019-11-22,8.522020023807826,8.590285989102405,-522085.5287823407,8.582798985041123,8.992068992360728,5.741478135313533,,,,,,,,,0.007978623966257313,,,,-0.893380176156513,,0.6599667497184758,1.609433668963701,
2019-11-25,6.109916704621227,4.785500413380831,-942588.2896899162,5.868119963308544,6.143475539655796,5.976028960246543,,,,,,,,,-0.24432254142325618,,,,-1.2896920116274253,,0.46508889487861754,-0.18246270519693414,0.1593549353083329
2019-11-26,3.472342193650612,2.6429847322780446,-1074729.2445144877,3.242381595671312,3.590982221725973,5.045558894503297,,,,,,,,,-0.27292049107882443,,,,-1.0538283499865806,,0.19281766773306952,1.7829375463818038,1.5373725389396877
2019-11-27,5.502641800435008,7.352307619789144,-733881.5910966657,6.902544451142809,5.9530475985962354,5.797958977179249,,,,,,,,,0.28978592155511446,,,,-0.05182306358882019,,0.46701025637777743,0.9426627944359862,1.3249508407618096
2019-11-29,7.146548781090729,4.535953477158806,-1620302.017131214,5.931415004276126,6.296004525993368,5.5814064463418465,,,,,,,,,-0.4545942422006781,,,,-1.008983156269469,,0.47398939331013595,0.6381463611985189,0.07951578812536268
2019-12-02,6.05206419707956,5.883454810316607,-1837644.952782688,5.236935864314084,6.1480637430634175,5.040040210584687,,,,,,,,,-0.028255261306823265,,,,-0.09307201972998855,,0.5824292492149898,0.38448169439933927,0.9957786439980074
