Date,MU_Open,MU_Adj Close,MU_Volume,MU_High,MU_Low,MU_MA_5,MU_MA_20,MU_MA_250,MU_realVolatility20,MU_realVolatility60,MU_realVolatility250,MU_avgVolume_20,MU_avgVolume_60,MU_avgVolume_250,MU_log1DayRet,MU_logMA5_20,MU_logMA20_250,MU_logMA5_250,MU_log1DayRange,MU_HL_20_realVol_20,MU_HL_5_realVol_20,MU_logD2,MU_logD5
2019-11-18,-0.0449872792777199,2.598105586468563,-3989205.8705396056,0.5331011396701015,1.8579334196153103,,,,,,,,,,,,,,0.28128587025268537,,,,
2019-11-19,3.8273620573461535,4.049657291075143,-5065486.07809858,3.9264686023244337,4.538316042538643,,,,,,,,,,0.056456450033583155,,,,-0.4912723082411448,,,,
2019-11-20,2.483209275822727,2.1447745192016043,-5344152.742163977,1.4558821603790193,2.511264943460173,,,,,,,,,,-0.1465173588297411,,,,0.053903528687100265,,,-0.791132587608469,
2019-11-21,3.251179645307303,1.6402160691734835,1445127.347719181,2.6950082737326757,1.7554704879345735,,,,,,,,,,-0.684189915617706,,,,-0.06236724188671378,,,0.8793948624872201,
2019-11-22,2.696759954997546,2.2838813621222656,-2949072.106989749,2.2465891496171797,2.4170122032867454,2.5433269656082116,,,,,,,,,-0.16617468833026616,,,,-1.7694713822499282,,0.8166896676360677,-1.972512987009242,
2019-11-25,0.4633864774138061,0.0440474406847286,5725575.742913917,0.5762624753027943,0.8631526453594418,2.032515336451445,,,,,,,,,-2.3532941798722775,,,,-1.248655819193689,,0.7847359015193113,0.4676061503941562,0.9376835239071192
2019-11-26,0.0484545399561753,-0.7580584987661751,4702305.368712749,-0.4968142802774657,-0.4632415420142806,1.0709721784831814,,,,,,,,,,,,,-3.394040902559367,,1.411699034187559,1.1124954240455067,1.5702220835558853
2019-11-27,1.1777130205487758,2.9786649873704825,-8028855.043524068,1.878780734162774,2.3473873972858748,1.237750272116957,,,,,,,,,0.9279007696068935,,,,-0.7579915337967709,,1.2576004731973125,1.076577137016097,-0.18165321837918266
2019-11-29,2.144311525095592,2.0046877311290245,-2014827.472281931,2.2063756067750937,2.5969420044432177,1.3106446045080653,,,,,,,,,-0.06733022998133902,,,,-0.9401572917154951,,1.0621537947362893,1.0162251958654993,-1.0093064755336612
2019-12-02,1.9227027461495751,2.36565800203406,-7016835.842725029,1.6067672786305636,1.8172532745678431,1.326999932490424,,,,,,,,,0.20732433173520143,,,,-1.5583361556866346,,1.0590206750101325,-0.48937894778226687,-2.503763651808363
2019-12-03,3.1447745857987783,3.281161314930213,-3644488.1994224302,2.873087495655376,3.578147697647694,1.9744227073395209,,,,,,,,,0.042455205409901116,,,,-0.34947208691872933,,1.1967151438916568,0.24410126324413559,1.1746821532705032
2019-12-04,3.7846069591071583,2.7259498389964243,5880483.944647893,4.706040690684823,3.5168087878957124,2.6712243748920406,,,,,,,,,-0.3281251076321228,,,,0.17330763888347095,,0.6485384200299881,-1.0208409177091018,1.2481834521454294
