Date,M_Open,M_Adj Close,M_Volume,M_High,M_Low,M_MA_5,M_MA_20,M_MA_250,M_realVolatility20,M_realVolatility60,M_realVolatility250,M_avgVolume_20,M_avgVolume_60,M_avgVolume_250,M_log1DayRet,M_logMA5_20,M_logMA20_250,M_logMA5_250,M_log1DayRange,M_HL_20_realVol_20,M_HL_5_realVol_20,M_logD2,M_logD5
2019-11-18,0.2788749733604918,-0.2269997487800323,-8407270.787187748,-0.1576983491604924,-0.2604658330758189,,,,,,,,,,,,,,-2.2752862803214544,,,,
2019-11-19,-0.1185513418499386,-0.0433004280621216,-6051561.793986261,-0.3097796088555418,-0.1874211090986532,,,,,,,,,,-1.0071836103788272,,,,-2.100800020669593,,,,
2019-11-20,-0.7917187931061482,-0.4727468657365392,-4939310.631140955,-0.763866260274852,-0.4876753272568184,,,,,,,,,,-0.5156461918939449,,,,-1.2866628661416057,,,-1.4034522516350427,
2019-11-21,-0.2877091319832341,-0.2244545258258932,-8677555.540454984,-0.4448491476387288,-0.1683247677590404,,,,,,,,,,-0.2482768822964203,,,,-1.2854562887433425,,,-1.7084072410645954,
2019-11-22,-0.0087364353774734,-0.0315064760037229,4739003.967885986,0.1031114109691992,-0.0301039411864199,-0.19980160888166182,,,,,,,,,1.28269085719545,,,,-2.015788271093793,,0.47195159499955625,-0.8181654506141531,
2019-11-25,-0.4207982305924642,-0.6339306762778225,5556092.049689159,-0.5689405209813887,-0.6107759642076092,-0.2811877943812199,,,,,,,,,0.4097861484995822,,,,-3.1740113746636998,,0.7753009059301147,-0.892876618039695,-0.8991118192497762
2019-11-26,-0.8666516551381651,-0.432063266183547,-1265028.5856346674,-0.8384413715211902,-0.6051687680714695,-0.35894036200550494,,,,,,,,,-0.696065087176648,,,,-1.4555475374129667,,0.8018620917563427,-0.9148997243243299,-0.9447857919274164
2019-11-27,-0.2414041449564248,-0.6780457677358984,17051952.3904651,-0.4153654279905283,-0.6410884777422208,-0.40000014240537674,,,,,,,,,1.0327423106907543,,,,-1.4884464747563981,,0.7713277612270362,-3.120953345136107,-1.5832883032454954
2019-11-29,-0.8481045162241649,-0.3741734085241157,-2259608.687461745,-0.6502979720209066,-0.4155709971851125,-0.42994391894502126,,,,,,,,,-0.8182845293483293,,,,-1.4493322494708774,,0.7424866396451747,-2.8492130797052444,-1.898995858582474
2019-12-02,-0.3687430510420548,-0.2031833379159393,-1989322.2270570693,-0.4248403599580435,-0.373014860329238,-0.46427929132746454,,,,,,,,,-0.5959913489476616,,,,-2.9598729800158723,,0.8811099680929848,-0.7447301383275473,-1.7621412789701125
2019-12-03,-0.1781177668163955,0.2217927565799207,3979361.108992424,0.1558266544033362,-0.0763208591666648,-0.2931346047559159,,,,,,,,,,,,,-1.4603822750193916,,0.6693982611349626,-0.5175713834879329,-0.15580804750191507
2019-12-04,0.577953156274964,0.4706932664516623,26083777.54933876,0.6324456932925786,0.5723321011215377,-0.11258329822887407,,,,,,,,,-0.20528617796902468,,,,-2.8115193037591943,,0.7794676588475107,-0.3947082644042322,-0.10230238247832434
2019-12-05,0.6714136728072821,0.2851161917919098,2181994.5944728926,0.4294305755377765,0.448379617572793,0.08004909367668757,,,,,,,,,-0.8564886612772954,,,,-3.9660019009733847,,1.0768087747657282,-2.759499793830198,-0.037533699053196944
2019-12-06,-0.049706999447534,-0.0083856011946688,8174725.222313646,-0.2433024250534678,-0.1414967736694081,0.15320665514257695,,,,,,,,,-1.7796296656083597,,,,-2.2846896618284025,,0.9208426341972631,-0.7358900445060019,-1.0057018751023477
2019-12-09,-0.3005053163495712,-0.4072278723863589,-6658912.130627025,-0.301031524448037,-0.2783192911438306,0.11239774824849302,,,,,,,,,0.3039074662818731,,,,-3.784851587576167,,1.0453279052999898,-0.36767224435895685,-1.5894170027357106
2019-12-10,-0.6235372195969595,-0.2538403924491201,-5872306.446789332,-0.4613715690641138,-0.4739814345445778,0.017271118442684863,,,,,,,,,-0.8987027646377564,,,,-4.373275796749441,,0.8654841945731004,-1.4046424983815649,-0.7431084172061727
2019-12-11,-0.0418219930135088,-0.2527469660709251,-2527777.2663937174,-0.0333672858542013,-0.0661579667826872,-0.12741692806183263,,,,,,,,,1.7989665043410923,,,,-3.4176109219951805,,0.7942551073480755,-1.8676847740003093,-0.32373734513756286
