Date,GOGO_Open,GOGO_Adj Close,GOGO_Volume,GOGO_High,GOGO_Low,GOGO_MA_5,GOGO_MA_20,GOGO_MA_250,GOGO_realVolatility20,GOGO_realVolatility60,GOGO_realVolatility250,GOGO_avgVolume_20,GOGO_avgVolume_60,GOGO_avgVolume_250,GOGO_log1DayRet,GOGO_logMA5_20,GOGO_logMA20_250,GOGO_logMA5_250,GOGO_log1DayRange,GOGO_HL_20_realVol_20,GOGO_HL_5_realVol_20,GOGO_logD2,GOGO_logD5
2019-11-18,0.0782831924694746,-0.1066482513252233,-799766.6737244149,-0.0622684162007092,-0.0499265659705137,,,,,,,,,,,,,,-4.3947593341272775,,,,
2019-11-19,-0.104534491418629,-0.1600355567975127,264671.0969073903,-0.1163970697373286,-0.1041080607009492,,,,,,,,,,0.42587894215999167,,,,-4.39904999035735,,,,
2019-11-20,-0.1888374036667115,-0.0956119993438671,-236102.9734861152,-0.2277654302662848,-0.1678062851738426,,,,,,,,,,-0.6805880184010626,,,,-2.8140918638139927,,,-4.506569790216846,
2019-11-21,-0.1392584933213407,-0.1724092530807275,-294806.2022832844,-0.1668926330781128,-0.1380172972858098,,,,,,,,,,0.21353915867291806,,,,-3.544767481037131,,,-4.392182326928503,
2019-11-22,-0.0771084431774986,-0.096713784563952,-109905.6916231513,-0.1086599642358212,-0.0507606229171659,-0.12628376902225652,,,,,,,,,0.22654315807298822,,,,-2.8490492706569244,,0.7833823976169292,-6.810823487351365,
2019-11-25,-0.1456370190389118,-0.2366531429111495,550742.4851245374,-0.1896542542453916,-0.1943916591875842,-0.15228474733944178,,,,,,,,,0.4854781820186109,,,,-5.352265773747434,,1.0850717919132464,-2.7450686596447023,-2.0401832016504065
2019-11-26,-0.2224168499492596,-0.290804076533864,272237.76068859803,-0.2431159396677098,-0.2446982298477161,-0.178438451286712,,,,,,,,,0.26809644023633583,,,,-6.448882000410209,,1.6248314643714306,-1.6394318056689583,-2.0343265437244034
2019-11-27,-0.2857533615761435,-0.192815588458292,-373717.8542084668,-0.1866823089924636,-0.1726508498424482,-0.197879169109597,,,,,,,,,-0.3933948347442632,,,,-4.266453388136242,,1.4332525755312309,-3.127264421364174,-2.3309476431519327
2019-11-29,-0.1591077140305674,-0.1478831701328677,160639.92744325753,-0.148307314365732,-0.1187199214223331,-0.19297395252002505,,,,,,,,,-0.07315884855306008,,,,-3.520406922453646,,1.4373143857147856,-1.945463903830552,-3.7080181176101927
2019-12-02,-0.1896922356355679,-0.1611171465422003,138191.35484137922,-0.2643714296266589,-0.149362345598518,-0.2058546249156747,,,,,,,,,-0.16327122772836247,,,,-2.162744162189504,,1.6499344706987042,-3.4514877502187815,-2.7425894426032587
