Date,TTD_Open,TTD_Adj Close,TTD_Volume,TTD_High,TTD_Low,TTD_MA_5,TTD_MA_20,TTD_MA_250,TTD_realVolatility20,TTD_realVolatility60,TTD_realVolatility250,TTD_avgVolume_20,TTD_avgVolume_60,TTD_avgVolume_250,TTD_log1DayRet,TTD_logMA5_20,TTD_logMA20_250,TTD_logMA5_250,TTD_log1DayRange,TTD_HL_20_realVol_20,TTD_HL_5_realVol_20,TTD_logD2,TTD_logD5
2019-11-18,1.750090551638987,2.166079267724614,-4890676.362828687,1.3640952391238876,1.6939587457449612,,,,,,,,,,0.2132512138827903,,,,-1.1090763263842043,,,,
2019-11-19,3.196772985214551,3.2015572430972004,1924927.873552632,3.386946639479362,3.4474439475990373,,,,,,,,,,0.0014954710380902345,,,,-2.8051564088248875,,,,
2019-11-20,1.5076785721131358,1.6054004256623955,-6014946.233083352,1.41580670168889,1.83242205301328,,,,,,,,,,0.06280211345912877,,,,-0.8755919017597881,,,-0.5786070114276619,
2019-11-21,2.164880426102698,1.0791894566947633,3890535.286079317,1.8800837890168849,1.3695031555919537,,,,,,,,,,-0.696154873184329,,,,-0.6722067039482671,,,0.7525323458155575,
2019-11-22,1.909156590591845,2.075704370855954,-1987573.4691569249,1.4317485283758489,1.8792427101316167,2.0255861528069854,,,,,,,,,0.0836389829858035,,,,-0.804091743014838,,0.8819268163466173,-0.7543761013919448,
2019-11-25,1.0337926428921609,2.144483649964936,4161380.980256399,2.859196554852332,1.8132005712208823,2.02126702925505,,,,,,,,,0.7296645835879354,,,,0.044969525894871416,,1.0617608692872764,0.06325099882711735,-3.835264866371636
2019-11-26,1.8261600043870327,0.1260071345166693,474133.24380530976,0.9482775785556968,0.5844049260221311,1.4061570075389436,,,,,,,,,-2.6736321544420867,,,,-1.0109513282361888,,0.41457094887521706,0.667674097105292,1.123483782357663
2019-11-27,1.3123140331576888,3.652758021149904,3417577.3672968727,2.4426808176910235,2.380161434674008,1.8156285266364454,,,,,,,,,1.0236904880664104,,,,-2.772278642047367,,1.0451882860537796,0.41096619679261664,0.7165499838928926
2019-11-29,3.6892862932930353,3.3669326488576097,13760114.909046954,4.071339343122844,3.987843251086069,2.2731771650690145,,,,,,,,,-0.09143088622373431,,,,-2.4829554501753646,,1.1885091011104052,1.1758589415876735,0.8275658260304708
2019-12-02,3.022677193916863,2.847767443038453,-9082664.4991081,2.1547091345317284,2.7803364062570037,2.4275897795055146,,,,,,,,,-0.0596075927610718,,,,-0.46900049778993336,,1.2392340249779379,-0.21692470584144635,-0.2586890325763378
2019-12-03,3.300871040096282,3.097600388351601,-2281995.571673533,3.117597614675738,3.623904247196432,2.6182131271828473,,,,,,,,,-0.06355864171579732,,,,-0.680612800110458,,1.0673565886253213,-1.3118094924068544,-0.048017887146114574
2019-12-04,3.288773797969004,2.058811324212826,-1122232.591102656,2.733333535966445,1.9774180661353784,3.004773965122079,,,,,,,,,-0.46838600034457917,,,,-0.2798257214468447,,1.1911258749585292,-0.23704457587348687,0.6589718964382095
2019-12-05,2.6143397474218872,5.741676705775863,14480440.323768817,4.870647375373206,3.650511532942193,3.4225577020472704,,,,,,,,,0.7867396977049098,,,,0.19896219880156005,,1.025699220440094,0.9723217859542111,0.7366465563146378
2019-12-06,5.1977998830310455,3.704473637117808,2546436.0411068536,4.613593384762094,4.941704387993713,3.49006589969931,,,,,,,,,-0.3386942562373649,,,,-1.114403303363999,,0.4856145088915355,0.49814292501365337,-1.0860683293467217
2019-12-09,2.3372428478736325,1.9033473142799764,-291080.6916242577,1.842964205613644,1.992889432241672,3.301181873947615,,,,,,,,,-0.20535788404517313,,,,-1.8976185983193816,,0.8025140920688814,1.3450372176381113,-0.057184160191819405
2019-12-10,1.7933319223585578,3.491408407377204,-4325158.398073286,2.7716819832414714,2.4024226292852404,3.379943477752735,,,,,,,,,0.6662299112139104,,,,-0.9962560255794378,,0.8076276938050474,-1.546156917241867,-0.9318917497909325
2019-12-11,4.690179017494362,4.21831688582974,6274133.704199413,4.590229063529407,4.81529960986482,3.811844590076118,,,,,,,,,-0.10603454550240603,,,,-1.4913413866523793,,0.787348247828236,0.8393965434128348,0.7698792888341095
2019-12-12,3.85165164220064,4.232609518853071,10717268.062177956,4.038110979493517,4.218319541308123,3.5100311526915595,,,,,,,,,0.0943166560986733,,,,-1.7136404220919492,,0.38399757801608647,-0.2994832850093651,0.4114917029315809
