DATE,APU000074714
2018-11-01,2.671
2018-12-01,2.414
2019-01-01,2.289
2019-02-01,2.353
2019-03-01,2.564
2019-04-01,2.835
2019-05-01,2.901
2019-06-01,2.752
2019-07-01,2.776
2019-08-01,2.655
2019-09-01,2.630
2019-10-01,2.673
2019-11-01,2.620
2019-12-01,2.587
2020-01-01,2.567
2020-02-01,2.465
2020-03-01,2.267
2020-04-01,1.876
2020-05-01,1.879
2020-06-01,2.076
2020-07-01,2.176
2020-08-01,2.177
2020-09-01,2.193
2020-10-01,2.159
2020-11-01,2.090
2020-12-01,2.168
2021-01-01,2.326
2021-02-01,2.496
2021-03-01,2.791
2021-04-01,2.839
2021-05-01,2.972
2021-06-01,3.154
2021-07-01,3.233
2021-08-01,3.255
2021-09-01,3.265
2021-10-01,3.385
2021-11-01,3.482
2021-12-01,3.408
2022-01-01,3.413
2022-02-01,3.592
2022-03-01,4.312
2022-04-01,4.271
2022-05-01,4.604
2022-06-01,5.058
2022-07-01,4.667
2022-08-01,4.101
2022-09-01,3.881
2022-10-01,4.016
2022-11-01,3.853
2022-12-01,3.356
2023-01-01,3.452
2023-02-01,3.514
2023-03-01,3.551
2023-04-01,3.735
2023-05-01,3.685
2023-06-01,3.712
2023-07-01,3.732
2023-08-01,3.955
2023-09-01,3.988
2023-10-01,3.782
2023-11-01,3.500
