DATE,EXPINF1YR
2018-12-01,1.98107002
2019-01-01,1.8039584
2019-02-01,1.78943106
2019-03-01,1.37532429
2019-04-01,2.0373803
2019-05-01,2.18513987
2019-06-01,1.60914045
2019-07-01,1.74765616
2019-08-01,1.71433646
2019-09-01,1.64492794
2019-10-01,1.72460183
2019-11-01,1.69729979
2019-12-01,1.70378442
2020-01-01,1.79710932
2020-02-01,1.64596366
2020-03-01,0.98707392
2020-04-01,-0.05035367
2020-05-01,-0.21879037
2020-06-01,0.51275711
2020-07-01,1.57200144
2020-08-01,1.67677177
2020-09-01,1.5827644
2020-10-01,1.39703767
2020-11-01,1.42002946
2020-12-01,1.64952129
2021-01-01,1.4460926
2021-02-01,1.67548668
2021-03-01,1.51383809
2021-04-01,1.75471736
2021-05-01,1.86820734
2021-06-01,2.05518859
2021-07-01,2.07311612
2021-08-01,2.46241259
2021-09-01,2.68413713
2021-10-01,1.85436755
2021-11-01,2.4798405
2021-12-01,2.62030861
2022-01-01,2.24175848
2022-02-01,2.62741883
2022-03-01,3.05769883
2022-04-01,3.39290341
2022-05-01,3.63465785
2022-06-01,4.22671337
2022-07-01,3.3092777
2022-08-01,3.37713165
2022-09-01,4.17914969
2022-10-01,2.88195932
2022-11-01,3.23904839
2022-12-01,2.86811918
2023-01-01,2.6790161
2023-02-01,2.61308946
2023-03-01,2.07325087
2023-04-01,2.65083257
2023-05-01,2.65363857
2023-06-01,1.36626254
2023-07-01,2.47431653
2023-08-01,2.60696893
2023-09-01,2.81243484
2023-10-01,2.76957367
2023-11-01,2.7911957
2023-12-01,3.09590617
