DATE,REAINTRATREARAT10Y
2018-12-01,1.25496666
2019-01-01,1.04043434
2019-02-01,1.06818285
2019-03-01,0.51720765
2019-04-01,0.42030375
2019-05-01,0.5404288
2019-06-01,0.42130162
2019-07-01,0.44057188
2019-08-01,0.42005179
2019-09-01,0.23500552
2019-10-01,0.36832453
2019-11-01,0.43361185
2019-12-01,0.51426493
2020-01-01,0.50509631
2020-02-01,0.31598579
2020-03-01,-0.12783745
2020-04-01,-0.11159442
2020-05-01,-0.02785652
2020-06-01,-0.15369936
2020-07-01,-0.3453445
2020-08-01,-0.407134
2020-09-01,-0.34333693
2020-10-01,-0.29173845
2020-11-01,-0.21395564
2020-12-01,-0.23232146
2021-01-01,-0.23501721
2021-02-01,-0.2308238
2021-03-01,0.01250687
2021-04-01,0.11804694
2021-05-01,0.03694758
2021-06-01,-0.00566485
2021-07-01,0.03504108
2021-08-01,-0.26101879
2021-09-01,-0.19473087
2021-10-01,0.08790114
2021-11-01,0.16399788
2021-12-01,0.09168917
2022-01-01,0.3194951
2022-02-01,0.44159289
2022-03-01,0.34708992
2022-04-01,0.94940027
2022-05-01,1.20389776
2022-06-01,1.02509351
2022-07-01,1.06217493
2022-08-01,0.8556253
2022-09-01,1.20424868
2022-10-01,1.79733203
2022-11-01,1.93071305
2022-12-01,1.57612515
2023-01-01,1.78309897
2023-02-01,1.42020217
2023-03-01,2.05963636
2023-04-01,1.44391386
2023-05-01,1.53690406
2023-06-01,1.06063107
2023-07-01,1.4260473
2023-08-01,1.60209539
2023-09-01,1.69970754
2023-10-01,2.08246076
2023-11-01,2.09432864
2023-12-01,1.67501461
