Date,Open,High,Low,Close,Adj Close,Volume,SPY_MA_5,SPY_MA_20,SPY_MA_250,SPY_realVolatility20,SPY_realVolatility60,SPY_realVolatility250,SPY_avgVolume_20,SPY_avgVolume_60,SPY_avgVolume_250,SPY_log1DayRet,SPY_logMA5_20,SPY_logMA20_250,SPY_logMA5_250,SPY_logD2,SPY_logD5,SPY_log1DayRange,SPY_HL_20_realVol_20,SPY_HL_5_realVol_20,SPY_Mean,SPY_Variance,SPY_Skewness,SPY_Kurtosis,SPY_Shape,SPY_Location,SPY_Scale
2019-05-23,14.061269142695522,12.660836196274715,11.999175927743522,12.662947004813075,11.748275440741937,42537726.12725197,14.110187550702943,15.084264601075636,14.833062018887865,2.470547698712179,2.0957452974371,3.181051476007036,8224293.658854159,3610217.8043294917,4845865.856968614,-0.17971768968576732,-0.06675506326197565,0.01679351160436121,-0.04996155165761437,1.5582260176148708,1.7312556375641805,-0.41300304430186446,0.7559592149397001,0.8545074252275795,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-05-24,15.758741178635717,15.433544057927548,15.73327619221348,15.081623208096374,13.986188141744408,-23831371.140659936,14.031532453362138,14.871718188468773,14.832947050464012,2.3656565866530563,2.1145678167020336,3.1810816826322115,7236912.42074717,3090248.6865436016,4800778.783620875,-0.1193249254481776,-0.05815418605855907,0.00261044248166193,-0.05554374357689726,-0.2763473422464448,-0.933244928707681,-1.2048660888993856,0.7732771121911496,0.614816830355055,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-05-28,15.08398931874649,15.349003461682258,13.541232430152718,12.580698542412108,11.670373824476798,7682284.208459906,13.729647412375595,14.55852323232136,14.83384897812196,2.3534726090302605,2.1864032953526387,3.1801490427737407,7372338.39393681,3020461.8717268384,4610915.256410033,-0.25658039254659226,-0.058619071912021474,-0.018735051196915774,-0.07735412310893733,-2.5523085783727995,0.4117289193728507,0.5920946120970979,0.7952542017340966,0.7571744405224784,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-05-29,11.284620314890248,10.693660906641211,11.164296821955986,12.158740099457816,11.278979272401244,38465451.34511505,12.685710845970169,14.24171258052454,14.8142990579627,2.346807866360216,2.2725886285170107,3.186939546196696,7977318.317846748,3097394.1181342546,4841473.352215702,-0.0005000126495514964,-0.11569893444701566,-0.039417702671338414,-0.15511663711835405,0.9959181666297654,1.652436639900516,-0.7536704874650128,0.802203302781433,0.6687117939459629,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-05-30,13.69693673428094,13.860635476500503,14.277727881606182,14.287934896631413,13.248972553384448,-21841838.72648111,12.386557846549767,14.139700351494303,14.81377215895076,2.343218357472387,2.299903705719028,3.187188395847182,6658477.490999381,3213058.713793182,4669612.040692911,-0.033252205510060584,-0.13237462871814237,-0.04657083066141012,-0.17894545937955242,0.4565375730895414,0.40263777971409875,-0.8744474867542287,0.8075934507934721,0.6886396684545008,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-05-31,11.281110413645877,11.267513871285333,11.753465297270736,10.620286089453003,9.853332683445617,19303119.769624263,12.007569295090503,13.854088349240945,14.787912295409726,2.5029574567808393,2.421450256610024,3.201128989296206,7649080.878592608,3422874.6776219704,4788905.939646331,-0.1353199406952148,-0.14304315122066458,-0.06522973351735124,-0.20827288473801586,0.35462545744426693,0.6391886308466488,-0.7216466066087225,0.8127609969904249,0.6892760294139538,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-06-03,12.13198982799466,12.424172692166934,11.076841999952876,11.981258071170174,11.11235013981704,19848527.44237461,11.432801694705029,13.478385353969898,14.766850095340443,2.3050304690811716,2.466999243374254,3.207940866672787,8943307.67530847,3379306.334298284,4977639.129498793,-0.08778863636341827,-0.16460075202981206,-0.09129749266508749,-0.25589824469489963,0.7592262707710828,1.0556484193066393,0.29812537005463774,0.8128176668484418,0.6831639836884081,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-06-04,14.938158506895462,17.39019408932674,16.149757817485693,18.90290518965375,17.518410691684778,-5836728.355170459,12.602409068146624,13.539980783511066,14.774119532189049,2.3985801603937693,2.455764769238088,3.2121227506367362,6184347.15546941,3229139.0307370336,4981915.934092223,0.1593334545848725,-0.07175885667816673,-0.08723012154184252,-0.15898897822000926,2.0366746894721417,1.7661060266697364,0.21546314986841272,0.7971602245419694,0.5732464643348884,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-06-05,19.67044519958185,18.026562171636044,18.627020881892637,18.786337119989327,17.40977957969926,-4261273.076540813,13.828569129606228,13.809466268894464,14.774090528498709,2.518597290664989,2.451991489786384,3.2120988234210257,2833927.010393483,3416018.7171867876,4941768.756145268,-0.1220851724327758,0.001382360466533196,-0.06752068812966228,-0.06613832766312906,1.8401415247169464,1.813325297266255,-0.5100613987659985,0.7764358776140874,0.541674269155602,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
2019-06-06,18.07084744882556,19.171564623377375,18.91025035257377,18.945859240701623,17.55669367803347,-1627620.6918739823,14.690113354536033,13.99274570669879,14.779660256368414,2.654554529761301,2.4563841182033097,3.2157242202465315,3499494.8234330304,3232935.161770894,4889195.323897924,-0.028864718262440605,0.0486356750834511,-0.054712897027176306,-0.00607722194372525,-3.2627497021515883,1.4604090229019024,-1.342031493313884,0.7941725665882967,0.6834551335945557,20.653643184767464,45.69781401082936,-0.6957931715352257,2.427707512670864,0.006412041645773758,-1033.4827838975602,1054.0949017859698
