Date,Open,High,Low,Close,Adj Close,Volume,^RUT_MA_5,^RUT_MA_20,^RUT_MA_250,^RUT_realVolatility20,^RUT_realVolatility60,^RUT_realVolatility250,^RUT_avgVolume_20,^RUT_avgVolume_60,^RUT_avgVolume_250,^RUT_log1DayRet,^RUT_logMA5_20,^RUT_logMA20_250,^RUT_logMA5_250,^RUT_logD2,^RUT_logD5,^RUT_log1DayRange,^RUT_HL_20_realVol_20,^RUT_HL_5_realVol_20,^RUT_Mean,^RUT_Variance,^RUT_Skewness,^RUT_Kurtosis,^RUT_Shape,^RUT_Location,^RUT_Scale
2019-05-23,68.16947693628072,63.68414036294871,47.72818567944682,49.02078849664895,49.02078849664895,806601891.3014574,70.23832545196292,85.11298702652769,88.44283943257234,20.65997807188655,17.351334834781127,25.365609725269454,199607274.49440914,174521733.820723,207842381.84160432,-0.32975244924050795,-0.1920855242768415,-0.038376828281211334,-0.23046235255805284,3.821091914927871,3.789190707816578,2.7698320939477443,1.1777054007711298,1.7558428027535122,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-05-24,57.1540061957819,64.87609989636485,77.86744122213395,78.31572713879564,78.31572713879564,-544003460.1951671,72.41559308179122,83.69125401298774,88.35605301902633,20.062347997252388,17.398630382739945,25.362983124924703,172346836.20144898,150412601.0696564,206156609.92142874,0.31499895283580387,-0.14471282969685492,-0.054240228279061935,-0.19895305797591686,1.5694124809949364,2.3875086222837014,2.564283083686537,1.077899022547842,1.8797978263384507,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-05-28,77.97679103896053,75.41867071398224,74.44909114943675,66.44190317090374,66.44190317090374,1138559583.7851005,72.39302816976128,81.5806646705015,88.23500582063703,19.510838393704304,17.397259568272716,25.395176386129894,230388014.83832875,167633311.47508126,207727077.43444166,-0.16008330233877388,-0.11948228256784173,-0.07841149433765111,-0.19789377690549279,2.8576829575663387,-2.181921231795197,-0.03089274005927962,1.1542028022852306,1.881551666055257,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-05-29,65.51057198421427,59.5416648973478,53.92575256935561,58.25961907586725,58.25961907586725,151880769.37603235,65.1099879989974,79.71401264242688,87.97889232925002,19.88206127521558,17.848817669344275,25.373226121936753,195641273.48487693,166886155.29219663,207367617.46119422,-0.11730232079378995,-0.20236742475762368,-0.09865153812484256,-0.3010189628824662,2.9985337489013286,3.5949862933437906,1.7256040554891539,1.1540417172762785,1.162857006262522,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-05-30,60.3873324313256,66.11349409296508,62.74036725323185,62.9438612137418,62.9438612137418,-167156217.26245785,62.996379819191475,78.74411344646083,87.84767272816524,20.21743546235146,18.15618663297415,25.41766988278031,176916756.28662974,165558570.54778472,202968787.35876954,0.04146388230121243,-0.22312626347259518,-0.10940079782989277,-0.332527061302488,1.2522033711390967,2.3578344372948212,1.2158401597997692,1.1521679915931065,1.130214905500885,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-05-31,55.09895224377874,48.43813758995475,51.49354608285967,48.17469231181269,48.17469231181269,753203998.429203,62.827160582224224,76.36574715974515,87.58397290448666,20.898976883375003,18.58822438967195,25.486103181037482,195011206.97035128,174007946.32618657,205833157.2980485,-0.134296873043682,-0.19514678671120614,-0.1370637634576144,-0.3322105501688206,2.311041909511147,-0.16712223217867123,1.116913296583288,1.1581710741323397,0.9473312645479413,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-06-03,51.91434526006344,59.92091085605841,61.21780829739998,65.06920476573669,65.06920476573669,417885543.9764414,60.177856107612435,73.34723185191918,87.39477946325499,17.525509749526574,18.60419718170215,25.476941475317435,222222289.01340693,175394309.6682889,207771571.8261453,0.22585623831236434,-0.19790031907852293,-0.17523078435573203,-0.37313110343425493,0.7539334608359534,2.5837350555722995,0.25997482845420505,1.1885299715115485,0.7238068751776006,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-06-04,71.0464610167777,96.73629693948976,80.19607385104814,105.48123926229825,105.48123926229825,228252707.37688303,67.98572332589133,73.09686089346698,87.34125985968163,16.994707379207934,18.656579149742463,25.424574194749653,237700967.189035,183207435.5220997,207849520.85755244,0.3951990666596576,-0.072487691156383,-0.17803754952662731,-0.25052524068301035,4.048414874619389,3.664569755544617,2.805795177318468,1.217865104111971,0.9344660070793677,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-06-05,104.73216467238215,89.08069336921608,93.86188707008024,86.27775481440608,86.27775481440608,26045163.281325817,73.5893504735991,73.74717470403161,87.19571809917929,17.248689975213367,18.510157180116526,25.32551379666874,207648211.61445206,178000705.4207931,206633880.11531508,-0.19383447955174,-0.0021423647748771537,-0.1675125399538245,-0.1696549047287017,3.0544044045552132,3.332852005452701,1.564690243540725,1.190082451678664,0.924232469505314,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
2019-06-06,84.65592811209649,78.39622865965157,80.93751216228782,76.26003177390885,76.26003177390885,21736997.04748583,76.2525845856325,73.55765215987807,87.07592160255749,17.196531466317,18.5442105732314,25.30604014080349,202750612.48641762,180165755.40613955,205350691.25405467,-0.10444616590301675,0.03598182923936457,-0.1687109183260444,-0.13272908908667977,3.374894729506706,2.58897912829454,0.9326692693998321,1.159146023135151,0.9461899811947541,102.45791455687792,1610.9794517146174,-0.7831083232780414,4.5136064709162,0.3258118673157244,-174.2595899310283,273.4355911865754
