Date,Open,High,Low,Close,Adj Close,Volume,MA_33,MA_89,MA_233
2021-06-30,46.0,46.5,41.11000061035156,42.5,42.5,20587300,,,
2021-07-01,44.27999877929688,44.75,39.93999862670898,40.040000915527344,40.040000915527344,6293400,,,
2021-07-02,42.11000061035156,45.20000076293945,41.33000183105469,44.59000015258789,44.59000015258789,4635000,,,
2021-07-06,45.810001373291016,50.59000015258789,45.52999877929688,49.5,49.5,7135800,,,
2021-07-07,52.97999954223633,54.04999923706055,49.79999923706055,51.4900016784668,51.4900016784668,7092800,,,
2021-07-08,50.0,50.97999954223633,45.25,50.0,50.0,3722200,,,
2021-07-09,51.380001068115234,51.79999923706055,48.25,49.2400016784668,49.2400016784668,1495700,,,
2021-07-12,50.5,51.16999816894531,48.40999984741211,50.58000183105469,50.58000183105469,1445000,,,
2021-07-13,50.630001068115234,51.040000915527344,47.33000183105469,49.0099983215332,49.0099983215332,1468000,,,
2021-07-14,49.0099983215332,50.13999938964844,44.9900016784668,46.0,46.0,2561600,,,
2021-07-15,47.060001373291016,47.2400016784668,42.79999923706055,43.400001525878906,43.400001525878906,1686000,,,
2021-07-16,43.5,47.34999847412109,43.209999084472656,44.150001525878906,44.150001525878906,1608500,,,
2021-07-19,43.90999984741211,47.81999969482422,43.02000045776367,47.0,47.0,1757400,,,
2021-07-20,47.2400016784668,47.75,45.26300048828125,47.45000076293945,47.45000076293945,988400,,,
2021-07-21,47.45000076293945,49.310001373291016,46.54999923706055,47.09999847412109,47.09999847412109,931600,,,
2021-07-22,46.34999847412109,48.70000076293945,45.82099914550781,47.77000045776367,47.77000045776367,1011600,,,
2021-07-23,48.09000015258789,49.20000076293945,46.060001373291016,46.560001373291016,46.560001373291016,753000,,,
2021-07-26,48.4900016784668,50.380001068115234,47.720001220703125,49.5,49.5,1793300,,,
2021-07-27,49.75,50.02999877929688,46.66999816894531,47.59999847412109,47.59999847412109,1003700,,,
2021-07-28,48.0,50.869998931884766,48.0,49.810001373291016,49.810001373291016,1288300,,,
2021-07-29,50.400001525878906,51.7400016784668,49.67399978637695,50.560001373291016,50.560001373291016,1066900,,,
2021-07-30,50.0,55.290000915527344,48.59000015258789,49.310001373291016,49.310001373291016,2361100,,,
2021-08-02,50.70000076293945,53.02999877929688,50.17100143432617,51.970001220703125,51.970001220703125,1174800,,,
2021-08-03,52.119998931884766,53.5,51.369998931884766,51.869998931884766,51.869998931884766,1271300,,,
2021-08-04,51.5,51.959999084472656,49.630001068115234,50.060001373291016,50.060001373291016,1232300,,,
2021-08-05,50.0,52.70000076293945,49.75,52.5,52.5,1421000,,,
2021-08-06,52.52999877929688,53.09000015258789,50.354000091552734,50.88999938964844,50.88999938964844,921900,,,
2021-08-09,51.08000183105469,51.959999084472656,49.70000076293945,50.61000061035156,50.61000061035156,730600,,,
2021-08-10,50.59000015258789,51.25,49.0099983215332,49.310001373291016,49.310001373291016,1040600,,,
2021-08-11,49.0099983215332,49.125,46.56999969482422,46.63999938964844,46.63999938964844,1371700,,,
2021-08-12,47.09999847412109,50.33000183105469,46.650001525878906,49.68000030517578,49.68000030517578,929800,,,
2021-08-13,49.68000030517578,50.95000076293945,48.8849983215332,50.36000061035156,50.36000061035156,580500,,,
2021-08-16,49.4900016784668,50.27999877929688,47.540000915527344,49.34999847412109,49.34999847412109,887200,48.37575796878699,,
2021-08-17,48.5,48.5,46.25,47.02000045776367,47.02000045776367,1319000,48.51272767962831,,
2021-08-18,47.2400016784668,49.77999877929688,47.2400016784668,48.70000076293945,48.70000076293945,608800,48.77515191742868,,
2021-08-19,47.9900016784668,51.5,47.77999877929688,50.36000061035156,50.36000061035156,925300,48.95000041614879,,
2021-08-20,50.0099983215332,51.36000061035156,49.130001068115234,51.290000915527344,51.290000915527344,706900,49.00424286813447,,
2021-08-23,51.20000076293945,56.0,51.20000076293945,53.130001068115234,53.130001068115234,2008800,49.05393981933594,,
2021-08-24,54.970001220703125,59.119998931884766,54.5,56.70000076293945,56.70000076293945,2206100,49.25697014548562,,
2021-08-25,57.70000076293945,60.11000061035156,55.86000061035156,59.38999938964844,59.38999938964844,1341000,49.56454583370324,,
2021-08-26,59.63999938964844,64.02999877929688,59.459999084472656,61.0099983215332,61.0099983215332,2035000,49.88060633341471,,
2021-08-27,62.5,66.0,62.34999847412109,64.9000015258789,64.9000015258789,1705900,50.36212158203125,,
2021-08-30,65.02999877929688,66.66000366210938,64.18000030517578,65.19000244140625,65.19000244140625,1432900,50.94363680752841,,
2021-08-31,64.7300033569336,65.55999755859375,63.83000183105469,63.93000030517578,63.93000030517578,1420300,51.56575798265862,,
2021-09-01,63.43000030517578,68.69999694824219,63.310001373291016,67.26000213623047,67.26000213623047,1806200,52.26606103145715,,
2021-09-02,68.61000061035156,68.7699966430664,64.33599853515625,64.77999877929688,64.77999877929688,1420500,52.80484887325402,,
2021-09-03,64.68000030517578,69.4219970703125,64.63999938964844,69.04000091552734,69.04000091552734,1372600,53.45909130212033,,
2021-09-07,69.4800033569336,73.47000122070312,69.4800033569336,71.01000213623047,71.01000213623047,2958200,54.18363686763879,,
2021-09-08,70.18000030517578,70.6500015258789,65.51000213623047,68.23999786376953,68.23999786376953,4258500,54.80393981933594,,
2021-09-09,69.11000061035156,72.94999694824219,62.040000915527344,66.04000091552734,66.04000091552734,5642500,55.39424283576734,,
2021-09-10,67.0,68.0,62.0099983215332,63.75,63.75,3897800,55.82606101758552,,
2021-09-13,64.18000030517578,64.44000244140625,58.52000045776367,61.0,61.0,3800100,56.23212166988488,,
